#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0837800.1-p1   -            595 4767at5820           -            494         0 1054.1  41.6   1   2   1.5e-56   3.3e-54  182.9  19.1     1   132    40   188    40   207 0.88 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 4767at5820           -            494         0 1054.1  41.6   2   2  5.1e-267  1.1e-264  877.1  15.1   106   494   207   595   194   595 0.96 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4767at5820           -            494   4.6e-31  106.6   9.3   1   3   4.6e-12     1e-09   36.2   0.0   267   357    12   102     5   102 0.96 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4767at5820           -            494   4.6e-31  106.6   9.3   2   3   4.6e-20     1e-17   62.5   0.9   178   295    49   166    43   183 0.93 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 4767at5820           -            494   4.6e-31  106.6   9.3   3   3   1.8e-10   3.9e-08   30.9   0.4   175   284   244   356   237   371 0.72 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4767at5820           -            494   1.9e-26   91.3   9.1   1   2   4.5e-15   9.8e-13   46.1   0.6   178   292    18   141     9   143 0.86 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4767at5820           -            494   1.9e-26   91.3   9.1   2   2   2.4e-18   5.2e-16   56.9   2.3   195   337   128   271   124   316 0.88 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 4767at5820           -            494   2.5e-26   90.9  10.2   1   3       1.8   3.9e+02   -2.1   0.3    18    59    99   146    88   200 0.48 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 4767at5820           -            494   2.5e-26   90.9  10.2   2   3     6e-16   1.3e-13   49.0   0.3   232   358   223   353   205   359 0.88 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 4767at5820           -            494   2.5e-26   90.9  10.2   3   3   7.7e-16   1.7e-13   48.6   0.4   196   333   359   497   354   498 0.91 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 4767at5820           -            494   4.6e-23   80.2  11.8   1   4   3.9e-12   8.5e-10   36.4   0.0   260   361   118   219    62   230 0.83 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
