#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9   1  13   2.5e-16   8.2e-13   45.4  21.0     1    60     1    67     1    74 0.87 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9   2  13    1e-145  3.3e-142  473.9 104.4    48   355    76   395    69   398 0.95 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9   3  13   9.5e-29   3.1e-25   86.5  27.5   350   474   429   546   414   547 0.80 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9   4  13     1e-72   3.3e-69  232.2  46.2   425   637   539   768   537   821 0.88 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9   5  13   3.8e-19   1.2e-15   54.7  27.9   635   794   823   993   801  1011 0.71 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9   6  13   9.9e-16   3.2e-12   43.4  16.7   695   796   978  1082   950  1087 0.83 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9   7  13   0.00033       1.1    5.2   1.9   432   484  1078  1130  1075  1144 0.71 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9   8  13     5e-11   1.6e-07   27.8  20.6   711   855  1098  1242  1090  1249 0.75 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9   9  13   6.2e-25     2e-21   73.9   8.6   840   906  1321  1387  1309  1397 0.88 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9  10  13   1.1e-59   3.5e-56  189.0  10.1   882  1043  1412  1608  1405  1613 0.84 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9  11  13   5.4e-42   1.7e-38  130.4   3.0  1045  1129  1635  1726  1630  1731 0.92 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9  12  13    0.0025       8.2    2.3   4.3  1120  1152  1758  1790  1740  1793 0.74 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422100.1-p1   -           1874 1411at5820           -           1170         0 1325.7 357.9  13  13   2.3e-07   0.00075   15.7   0.2  1145  1170  1845  1871  1822  1871 0.84 | transcript=PVP01_0422100.1 | gene=PVP01_0422100 | organism=Plasmodium_vivax_P01 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=PvP01_04_v2:892242-897866(+) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0835000.1-p1   -           1003 1411at5820           -           1170   0.00013   18.2  13.0   1   3   3.9e-08   0.00013   18.2  13.0   403   571   357   521   353   539 0.79 | transcript=PVP01_0835000.1 | gene=PVP01_0835000 | organism=Plasmodium_vivax_P01 | gene_product=GRIP domain-containing protein, putative | transcript_product=GRIP domain-containing protein, putative | location=PvP01_08_v2:1477481-1480492(-) | protein_length=1003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
