#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1254900.1-p1   -            361 10298at5820          -            272  2.4e-145  481.5  41.6   1   1  5.1e-148    3e-145  481.2  41.6     1   271    14   291    14   292 0.98 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 10298at5820          -            272   1.4e-30  105.1  47.4   1   3   2.6e-13   1.6e-10   39.4  18.4    96   192    23   119     3   120 0.64 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 10298at5820          -            272   1.4e-30  105.1  47.4   2   3   5.7e-15   3.4e-12   44.9   7.9    81   169    96   183    95   187 0.89 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 10298at5820          -            272   1.4e-30  105.1  47.4   3   3   5.5e-14   3.3e-11   41.6  11.5    81   168   185   276   182   289 0.87 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 10298at5820          -            272   1.8e-15   55.6  74.0   1   7    0.0011      0.68    7.8   8.1    45   122    27   104     8   107 0.73 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 10298at5820          -            272   1.8e-15   55.6  74.0   2   7     1e-07   6.1e-05   21.1   0.4    40   111   111   182   105   197 0.77 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 10298at5820          -            272   1.8e-15   55.6  74.0   3   7       5.2   3.1e+03   -4.2   0.3    88   117   680   709   669   720 0.60 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 10298at5820          -            272   1.8e-15   55.6  74.0   4   7   6.1e-05     0.036   12.0   0.1    66   153   797   892   779   910 0.75 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 10298at5820          -            272   1.8e-15   55.6  74.0   5   7   7.5e-05     0.044   11.7  16.4    45   166   974  1098   968  1099 0.62 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 10298at5820          -            272   1.8e-15   55.6  74.0   6   7      0.26   1.5e+02    0.1  13.3    88   233  1061  1211  1056  1217 0.65 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 10298at5820          -            272   1.8e-15   55.6  74.0   7   7   5.8e-10   3.4e-07   28.5   5.2    42   162  1228  1351  1221  1395 0.72 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
