#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6   1  14   6.3e-43   4.1e-39  132.4   1.0     1    85     1    87     1    95 0.94 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6   2  14   2.5e-87   1.6e-83  279.7  18.6    83   257   129   328   118   333 0.92 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6   3  14   8.2e-51   5.4e-47  158.6  14.4   256   422   359   576   349   585 0.80 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6   4  14   8.9e-25   5.8e-21   72.2   1.0   427   496   621   702   611   706 0.82 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6   5  14   1.4e-91   9.3e-88  293.7  26.2   495   701   730   943   728   948 0.96 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6   6  14   2.3e-32   1.5e-28   97.4  12.4   702   819   982  1126   980  1152 0.80 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6   7  14   5.3e-34   3.5e-30  102.8   5.0   830   933  1216  1336  1200  1344 0.78 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6   8  14   1.2e-69   7.8e-66  221.0   9.8   919  1078  1382  1561  1378  1584 0.87 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6   9  14   4.8e-44   3.1e-40  136.1   2.8  1089  1187  1629  1731  1626  1735 0.93 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6  10  14   1.3e-61   8.6e-58  194.4  16.0  1186  1296  1803  1913  1800  1918 0.98 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112900.1-p1   -           3012 225at5820            -           2082         0 2818.1 287.6  11  14  1.9e-114  1.2e-110  369.6  44.5  1291  1564  1944  2266  1938  2287 0.90 | transcript=PVP01_1112900.1 | gene=PVP01_1112900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:552909-561947(+) | protein_length=3012 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
