#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0515100.1-p1   -            662 3997at5820           -            539    8e-277  917.7  14.8   1   3   4.6e-34   6.1e-31  106.3   0.0     2    71    18    87    17    92 0.96 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515100.1-p1   -            662 3997at5820           -            539    8e-277  917.7  14.8   2   3   4.2e-87   5.4e-84  281.3   1.4    63   251   109   329    96   333 0.89 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515100.1-p1   -            662 3997at5820           -            539    8e-277  917.7  14.8   3   3  3.3e-164  4.3e-161  535.8   4.3   246   539   351   662   335   662 0.94 | transcript=PVP01_0515100.1 | gene=PVP01_0515100 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=PvP01_05_v2:630543-632531(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435500.1-p1   -           1104 3997at5820           -            539   1.8e-34  117.9  25.8   1   2   1.1e-09   1.4e-06   25.8   0.0    26    69   462   505   450   518 0.82 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435500.1-p1   -           1104 3997at5820           -            539   1.8e-34  117.9  25.8   2   2     2e-29   2.6e-26   91.0  23.4    95   517   594  1070   558  1083 0.72 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308000.1-p1   -            843 3997at5820           -            539   7.8e-26   89.4   5.6   1   2    0.0027       3.6    4.7   0.0    32    64   247   279   227   299 0.82 | transcript=PVP01_0308000.1 | gene=PVP01_0308000 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=PvP01_03_v2:385950-389878(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308000.1-p1   -            843 3997at5820           -            539   7.8e-26   89.4   5.6   2   2   7.1e-27   9.3e-24   82.6   3.4    93   461   339   755   298   821 0.66 | transcript=PVP01_0308000.1 | gene=PVP01_0308000 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=PvP01_03_v2:385950-389878(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721800.1-p1   -            783 3997at5820           -            539   3.7e-19   67.4  17.8   1   3   7.1e-10   9.3e-07   26.4   0.5     8    64   177   234   170   243 0.74 | transcript=PVP01_0721800.1 | gene=PVP01_0721800 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=PvP01_07_v2:943749-946100(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721800.1-p1   -            783 3997at5820           -            539   3.7e-19   67.4  17.8   2   3   2.9e-13   3.8e-10   37.6   1.8    96   207   297   413   253   426 0.84 | transcript=PVP01_0721800.1 | gene=PVP01_0721800 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=PvP01_07_v2:943749-946100(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721800.1-p1   -            783 3997at5820           -            539   3.7e-19   67.4  17.8   3   3   9.9e-06     0.013   12.8   2.2   250   450   484   696   459   716 0.69 | transcript=PVP01_0721800.1 | gene=PVP01_0721800 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=PvP01_07_v2:943749-946100(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514900.1-p1   -            705 3997at5820           -            539     4e-19   67.3  10.3   1   2   3.3e-16   4.3e-13   47.3   0.1    29   210    63   262    54   283 0.73 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
