#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1448800.1-p1   -            376 7425at5820           -            101   3.2e-62  205.6   0.2   1   2     0.088   1.1e+02    1.7   0.0    10    53   207   253   202   261 0.76 | transcript=PVP01_1448800.1 | gene=PVP01_1448800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_14_v2:2116244-2117610(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448800.1-p1   -            376 7425at5820           -            101   3.2e-62  205.6   0.2   2   2   5.4e-64     7e-61  201.3   0.1     1   101   269   374   269   374 0.96 | transcript=PVP01_1448800.1 | gene=PVP01_1448800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_14_v2:2116244-2117610(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 7425at5820           -            101   1.2e-10   40.1   3.5   1   3      0.54   7.1e+02   -0.9   0.0     5    36   110   141   108   155 0.75 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 7425at5820           -            101   1.2e-10   40.1   3.5   2   3       1.2   1.6e+03   -2.0   0.1     5    42   172   212   170   223 0.58 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930100.1-p1   -            641 7425at5820           -            101   1.2e-10   40.1   3.5   3   3   1.2e-13   1.6e-10   39.7   0.1     2    75   379   456   378   463 0.88 | transcript=PVP01_0930100.1 | gene=PVP01_0930100 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_09_v2:1310745-1312670(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 7425at5820           -            101   1.7e-07   30.0   0.0   1   1   8.4e-10   1.1e-06   27.4   0.0     2    62   346   411   345   425 0.82 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605600.1-p1   -            536 7425at5820           -            101   1.4e-05   23.8   0.0   1   2       1.9   2.5e+03   -2.6   0.0     1    14   311   324   311   328 0.87 | transcript=PVP01_0605600.1 | gene=PVP01_0605600 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=PvP01_06_v2:226050-227855(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605600.1-p1   -            536 7425at5820           -            101   1.4e-05   23.8   0.0   2   2   6.5e-08   8.4e-05   21.3   0.0    20    67   419   466   410   482 0.85 | transcript=PVP01_0605600.1 | gene=PVP01_0605600 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=PvP01_06_v2:226050-227855(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911800.1-p1   -            505 7425at5820           -            101     0.011   14.5   1.0   1   3      0.62   8.2e+02   -1.1   0.0    14    56   163   204   152   225 0.62 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911800.1-p1   -            505 7425at5820           -            101     0.011   14.5   1.0   2   3       1.6     2e+03   -2.4   0.0    51    63   267   278   243   294 0.62 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911800.1-p1   -            505 7425at5820           -            101     0.011   14.5   1.0   3   3   7.3e-05     0.095   11.5   0.3     4    74   340   417   337   428 0.69 | transcript=PVP01_0911800.1 | gene=PVP01_0911800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=PvP01_09_v2:567415-568932(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
