#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0807700.1-p1   -           2242 996at5820            -           1613         0 2327.5 115.7   1   4     8e-37   8.7e-34  115.0  23.2     1   232     1   371     1   387 0.81 | transcript=PVP01_0807700.1 | gene=PVP01_0807700 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase 2, putative | transcript_product=histone deacetylase 2, putative | location=PvP01_08_v2:334516-341244(+) | protein_length=2242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807700.1-p1   -           2242 996at5820            -           1613         0 2327.5 115.7   2   4         0         0 1713.4  57.1   249  1353   458  1869   436  1878 0.83 | transcript=PVP01_0807700.1 | gene=PVP01_0807700 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase 2, putative | transcript_product=histone deacetylase 2, putative | location=PvP01_08_v2:334516-341244(+) | protein_length=2242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807700.1-p1   -           2242 996at5820            -           1613         0 2327.5 115.7   3   4  1.4e-109  1.5e-106  356.2  11.5  1318  1508  1889  2083  1875  2093 0.82 | transcript=PVP01_0807700.1 | gene=PVP01_0807700 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase 2, putative | transcript_product=histone deacetylase 2, putative | location=PvP01_08_v2:334516-341244(+) | protein_length=2242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807700.1-p1   -           2242 996at5820            -           1613         0 2327.5 115.7   4   4     3e-50   3.3e-47  159.4   1.0  1516  1611  2146  2241  2133  2242 0.93 | transcript=PVP01_0807700.1 | gene=PVP01_0807700 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase 2, putative | transcript_product=histone deacetylase 2, putative | location=PvP01_08_v2:334516-341244(+) | protein_length=2242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724200.1-p1   -            448 996at5820            -           1613   6.7e-15   52.3   3.4   1   2   4.6e-11     5e-08   29.6   1.4   566   630   138   200   123   202 0.90 | transcript=PVP01_0724200.1 | gene=PVP01_0724200 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=PvP01_07_v2:1030792-1032138(-) | protein_length=448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724200.1-p1   -            448 996at5820            -           1613   6.7e-15   52.3   3.4   2   2   4.3e-09   4.6e-06   23.0   0.0   746   819   202   275   200   280 0.96 | transcript=PVP01_0724200.1 | gene=PVP01_0724200 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=PvP01_07_v2:1030792-1032138(-) | protein_length=448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027400.1-p1   -            443 996at5820            -           1613   2.4e-12   43.9   4.9   1   2   3.5e-15   3.8e-12   43.2   3.8   565   630   255   320   246   337 0.93 | transcript=PVP01_1027400.1 | gene=PVP01_1027400 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_10_v2:1181388-1182840(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027400.1-p1   -            443 996at5820            -           1613   2.4e-12   43.9   4.9   2   2      0.11   1.2e+02   -1.5   0.0   796   851   360   414   341   415 0.83 | transcript=PVP01_1027400.1 | gene=PVP01_1027400 | organism=Plasmodium_vivax_P01 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=PvP01_10_v2:1181388-1182840(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331200.1-p1   -            228 996at5820            -           1613    0.0028   13.8  15.6   1   1   2.8e-06     0.003   13.7  15.6    17   149    25   162    14   221 0.63 | transcript=PVP01_1331200.1 | gene=PVP01_1331200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1308345-1309900(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025400.1-p1   -            276 996at5820            -           1613    0.0032   13.6  16.2   1   1   3.9e-06    0.0043   13.2  16.2    27   192    23   265    17   271 0.55 | transcript=PVP01_1025400.1 | gene=PVP01_1025400 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_10_v2:1110700-1111530(-) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 996at5820            -           1613       0.7    5.9  24.9   1   1   0.00075      0.82    5.7  24.9   641   735    66   162    51   235 0.41 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/996at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/996at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/996at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:29 2026
# [ok]
