#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1202100.1-p1   -           2316 926at5820            -           1653         0 2887.6 235.2   1   8   0.00023      0.75    5.4   0.4     1    18    36    53    36    58 0.91 | transcript=PVP01_1202100.1 | gene=PVP01_1202100 | organism=Plasmodium_vivax_P01 | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=PvP01_12_v2:83444-90394(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202100.1-p1   -           2316 926at5820            -           1653         0 2887.6 235.2   2   8    3e-121  9.9e-118  392.8  48.6    16   291    88   427    83   444 0.86 | transcript=PVP01_1202100.1 | gene=PVP01_1202100 | organism=Plasmodium_vivax_P01 | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=PvP01_12_v2:83444-90394(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202100.1-p1   -           2316 926at5820            -           1653         0 2887.6 235.2   3   8   3.1e-84     1e-80  270.1  33.1   290   466   545   749   530   752 0.87 | transcript=PVP01_1202100.1 | gene=PVP01_1202100 | organism=Plasmodium_vivax_P01 | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=PvP01_12_v2:83444-90394(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202100.1-p1   -           2316 926at5820            -           1653         0 2887.6 235.2   4   8   2.1e-79   6.7e-76  254.1  15.5   467   601   800   934   799   940 0.98 | transcript=PVP01_1202100.1 | gene=PVP01_1202100 | organism=Plasmodium_vivax_P01 | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=PvP01_12_v2:83444-90394(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202100.1-p1   -           2316 926at5820            -           1653         0 2887.6 235.2   5   8  2.2e-129    7e-126  419.8  20.1   597   810   979  1195   968  1203 0.95 | transcript=PVP01_1202100.1 | gene=PVP01_1202100 | organism=Plasmodium_vivax_P01 | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=PvP01_12_v2:83444-90394(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202100.1-p1   -           2316 926at5820            -           1653         0 2887.6 235.2   6   8   7.4e-74   2.4e-70  235.7   6.2   808   960  1269  1428  1265  1432 0.95 | transcript=PVP01_1202100.1 | gene=PVP01_1202100 | organism=Plasmodium_vivax_P01 | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=PvP01_12_v2:83444-90394(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202100.1-p1   -           2316 926at5820            -           1653         0 2887.6 235.2   7   8  1.1e-155  3.6e-152  506.9  24.3   958  1280  1455  1849  1450  1860 0.88 | transcript=PVP01_1202100.1 | gene=PVP01_1202100 | organism=Plasmodium_vivax_P01 | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=PvP01_12_v2:83444-90394(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202100.1-p1   -           2316 926at5820            -           1653         0 2887.6 235.2   8   8  1.3e-252  4.2e-249  828.3  33.4  1280  1653  1928  2308  1922  2308 0.98 | transcript=PVP01_1202100.1 | gene=PVP01_1202100 | organism=Plasmodium_vivax_P01 | gene_product=intron-binding protein aquarius, putative | transcript_product=intron-binding protein aquarius, putative | location=PvP01_12_v2:83444-90394(-) | protein_length=2316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805200.1-p1   -           1554 926at5820            -           1653   8.9e-28   94.6   0.1   1   2   0.00013      0.43    6.2   0.0  1018  1075   832   888   821   905 0.86 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805200.1-p1   -           1554 926at5820            -           1653   8.9e-28   94.6   0.1   2   2     9e-29   2.9e-25   86.3   0.0  1319  1615   965  1250   932  1281 0.82 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/926at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/926at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/926at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:25 2026
# [ok]
