#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1238400.1-p1   -            743 3797at5820           -            571  2.5e-269  893.8  34.6   1   1  8.4e-272  1.1e-268  891.6  34.6     1   571     1   743     1   743 0.94 | transcript=PVP01_1238400.1 | gene=PVP01_1238400 | organism=Plasmodium_vivax_P01 | gene_product=C3H1-type zinc finger protein CZIF1, putative | transcript_product=C3H1-type zinc finger protein CZIF1, putative | location=PvP01_12_v2:1519969-1522200(-) | protein_length=743 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0517200.1-p1   -            521 3797at5820           -            571     4e-60  203.1  26.6   1   2     8e-34     1e-30  105.9   1.3     3    67     3    67     1    78 0.92 | transcript=PVP01_0517200.1 | gene=PVP01_0517200 | organism=Plasmodium_vivax_P01 | gene_product=C3H1-type zinc finger protein CZIF2, putative | transcript_product=C3H1-type zinc finger protein CZIF2, putative | location=PvP01_05_v2:721598-723305(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0517200.1-p1   -            521 3797at5820           -            571     4e-60  203.1  26.6   2   2   1.8e-32   2.3e-29  101.5  18.0    77   264   113   380    93   462 0.56 | transcript=PVP01_0517200.1 | gene=PVP01_0517200 | organism=Plasmodium_vivax_P01 | gene_product=C3H1-type zinc finger protein CZIF2, putative | transcript_product=C3H1-type zinc finger protein CZIF2, putative | location=PvP01_05_v2:721598-723305(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 3797at5820           -            571   5.9e-07   27.5   2.3   1   2   1.9e-09   2.4e-06   25.5   0.7    78   131    19    72    13    77 0.93 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 3797at5820           -            571   5.9e-07   27.5   2.3   2   2      0.06        78    0.7   0.0    79    94    86   101    83   112 0.87 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 3797at5820           -            571   0.00065   17.5   3.2   1   2     5e-07   0.00065   17.5   3.2    77   130    14    68    10    77 0.92 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 3797at5820           -            571   0.00065   17.5   3.2   2   2       1.6   2.1e+03   -4.0   1.8   236   239   388   391   326   466 0.40 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 3797at5820           -            571    0.0024   15.6   0.6   1   5   1.9e-06    0.0024   15.6   0.6    78   130    43    96    31    99 0.90 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 3797at5820           -            571    0.0024   15.6   0.6   2   5         5   6.5e+03   -9.2  49.9    83   370    83   389    79   398 0.61 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 3797at5820           -            571    0.0024   15.6   0.6   3   5         5   6.5e+03  -11.9  28.4   179   347   356   533   336   568 0.51 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 3797at5820           -            571    0.0024   15.6   0.6   4   5         5   6.5e+03  -18.1  41.4   181   370   634   822   611   852 0.43 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
