#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0213900.1-p1   -            565 6234at5820           -            412  8.7e-228  754.9  24.8   1   3   2.5e-33   2.7e-30  104.4   0.1     1    72     1    73     1    80 0.92 | transcript=PVP01_0213900.1 | gene=PVP01_0213900 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_02_v2:597529-599428(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213900.1-p1   -            565 6234at5820           -            412  8.7e-228  754.9  24.8   2   3     2e-93   2.1e-90  302.4   3.6    74   218   170   314   152   321 0.95 | transcript=PVP01_0213900.1 | gene=PVP01_0213900 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_02_v2:597529-599428(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213900.1-p1   -            565 6234at5820           -            412  8.7e-228  754.9  24.8   3   3  9.6e-110    1e-106  356.1   9.6   214   412   367   565   362   565 0.98 | transcript=PVP01_0213900.1 | gene=PVP01_0213900 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_02_v2:597529-599428(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309200.1-p1   -            414 6234at5820           -            412   6.1e-07   27.5   7.0   1   1     2e-08   2.2e-05   22.4   7.0   140   356   146   360   100   389 0.67 | transcript=PVP01_0309200.1 | gene=PVP01_0309200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_03_v2:430357-432507(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 6234at5820           -            412   2.3e-06   25.6   0.5   1   3      0.17   1.8e+02   -0.4   0.1    97   121   128   152   121   181 0.87 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 6234at5820           -            412   2.3e-06   25.6   0.5   2   3   6.9e-05     0.075   10.7   0.0   160   218   267   324   255   340 0.83 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 6234at5820           -            412   2.3e-06   25.6   0.5   3   3   4.9e-05     0.053   11.2   0.0   314   378   501   563   482   578 0.77 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 6234at5820           -            412   0.00092   17.0   0.0   1   1   2.1e-05     0.023   12.4   0.0   242   341   209   319    54   332 0.76 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 6234at5820           -            412     0.005   14.6   0.0   1   1   5.7e-05     0.062   11.0   0.0    73   343    57   321    30   351 0.68 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 6234at5820           -            412     0.062   11.0   0.1   1   2     0.018        19    2.8   0.0   164   215   188   239   155   245 0.86 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 6234at5820           -            412     0.062   11.0   0.1   2   2     0.002       2.2    5.9   0.0   278   383   363   468   347   476 0.75 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
