#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0505100.1-p1   -             95 15143at5820          -             91   1.8e-59  196.5   4.2   1   1     3e-62     2e-59  196.3   4.2     1    91     1    91     1    91 0.99 | transcript=PVP01_0505100.1 | gene=PVP01_0505100 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=PvP01_05_v2:234631-235447(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0925000.1-p1   -            149 15143at5820          -             91   9.9e-11   40.2   0.3   1   1   2.1e-13   1.3e-10   39.8   0.3     7    76    14    86    10    96 0.89 | transcript=PVP01_0925000.1 | gene=PVP01_0925000 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm1, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm1, putative | location=PvP01_09_v2:1116482-1117289(-) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0512000.1-p1   -             83 15143at5820          -             91   1.2e-06   27.2   0.4   1   1   2.2e-09   1.4e-06   26.9   0.4     7    69    15    74    11    82 0.88 | transcript=PVP01_0512000.1 | gene=PVP01_0512000 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=PvP01_05_v2:514732-515202(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514400.1-p1   -             91 15143at5820          -             91   1.7e-06   26.7   0.3   1   1   6.9e-09   4.5e-06   25.3   0.3     9    70    17    87    12    90 0.78 | transcript=PVP01_0514400.1 | gene=PVP01_0514400 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=PvP01_05_v2:604006-604844(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204600.1-p1   -             94 15143at5820          -             91   1.8e-05   23.4   0.1   1   1   3.4e-08   2.2e-05   23.1   0.1    20    72    38    88    15    93 0.86 | transcript=PVP01_1204600.1 | gene=PVP01_1204600 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=PvP01_12_v2:185359-186110(+) | protein_length=94 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263700.1-p1   -            101 15143at5820          -             91   0.00018   20.2   0.2   1   1   3.1e-07    0.0002   20.0   0.2    10    68    20    79    14    99 0.84 | transcript=PVP01_1263700.1 | gene=PVP01_1263700 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=PvP01_12_v2:2632824-2633500(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334100.1-p1   -            201 15143at5820          -             91   0.00021   20.0   0.1   1   1   4.7e-07    0.0003   19.5   0.1     6    71     7    78     3    97 0.72 | transcript=PVP01_1334100.1 | gene=PVP01_1334100 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=PvP01_13_v2:1467665-1468515(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308300.1-p1   -            107 15143at5820          -             91   0.00033   19.3   0.1   1   1   6.7e-07   0.00043   19.0   0.1     5    74    19    94    16   105 0.85 | transcript=PVP01_1308300.1 | gene=PVP01_1308300 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=PvP01_13_v2:385227-386003(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927600.1-p1   -             86 15143at5820          -             91    0.0016   17.1   0.0   1   1   3.1e-06     0.002   16.8   0.0     8    71    16    77    12    83 0.77 | transcript=PVP01_0927600.1 | gene=PVP01_0927600 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=PvP01_09_v2:1217183-1218081(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406500.1-p1   -            101 15143at5820          -             91    0.0082   14.9   0.2   1   1   1.9e-05     0.012   14.3   0.2    13    69    31    96    22    99 0.72 | transcript=PVP01_0406500.1 | gene=PVP01_0406500 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein Sm D2, putative | transcript_product=small nuclear ribonucleoprotein Sm D2, putative | location=PvP01_04_v2:276288-276826(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
