#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8   1  13  1.8e-133  1.9e-130  434.8   7.4     1   231     1   243     1   247 0.95 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8   2  13  9.9e-160  1.1e-156  521.8   4.5   231   473   327   569   322   608 0.96 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8   3  13   2.4e-10   2.6e-07   27.2   0.2   489   520   658   689   652   694 0.87 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8   4  13       0.4   4.3e+02   -3.3   9.7   522   553   847   878   841   898 0.70 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8   5  13   0.00043      0.47    6.5   9.5   532   567  1001  1036   988  1040 0.79 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8   6  13     0.024        26    0.8   0.0   559   589  1088  1118  1078  1135 0.83 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8   7  13   2.6e-10   2.9e-07   27.1   0.0   608   637  1339  1368  1296  1378 0.83 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8   8  13   7.7e-62   8.3e-59  197.7   3.5   648   781  1522  1668  1507  1677 0.89 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8   9  13    0.0093        10    2.1   0.0   799   822  1768  1791  1731  1808 0.75 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8  10  13     7e-09   7.7e-06   22.3   0.0   822   873  1878  1932  1873  1957 0.83 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604200.1-p1   -           2323 1016at5820           -           1026         0 1439.4  94.8  11  13     0.025        27    0.7   2.9   868   913  2033  2078  1983  2100 0.76 | transcript=PVP01_0604200.1 | gene=PVP01_0604200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor subunit eIF2A, putative | transcript_product=eukaryotic translation initiation factor subunit eIF2A, putative | location=PvP01_06_v2:160593-167792(+) | protein_length=2323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
