#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1301700.1-p1   -            226 11093at5820          -            195  1.8e-134  443.8   1.2   1   1  3.6e-137  2.4e-134  443.4   1.2     1   195     1   203     1   203 0.97 | transcript=PVP01_1301700.1 | gene=PVP01_1301700 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_13_v2:84447-86136(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818200.1-p1   -            170 11093at5820          -            195   1.6e-51  173.1   0.3   1   1   2.6e-54   1.7e-51  173.0   0.3     6   173     4   169     1   170 0.97 | transcript=PVP01_0818200.1 | gene=PVP01_0818200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_08_v2:789722-790234(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916400.1-p1   -            193 11093at5820          -            195   4.6e-41  139.0   0.3   1   1   8.4e-44   5.5e-41  138.7   0.3     7   173    30   192    25   193 0.96 | transcript=PVP01_0916400.1 | gene=PVP01_0916400 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=PvP01_09_v2:736280-737370(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0115700.1-p1   -            262 11093at5820          -            195   1.8e-39  133.8   1.4   1   1     4e-42   2.6e-39  133.3   1.4     3   173    90   261    88   262 0.91 | transcript=PVP01_0115700.1 | gene=PVP01_0115700 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative, peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=PvP01_01_v2:702548-703336(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916900.1-p1   -            167 11093at5820          -            195     5e-25   86.6   0.5   1   1   1.5e-27   9.6e-25   85.7   0.5    18   170     8   151     4   163 0.89 | transcript=PVP01_0916900.1 | gene=PVP01_0916900 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_09_v2:757527-759141(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1434000.1-p1   -            276 11093at5820          -            195   1.2e-24   85.5   0.7   1   1   2.6e-27   1.7e-24   84.9   0.7     7   173    63   223    58   229 0.92 | transcript=PVP01_1434000.1 | gene=PVP01_1434000 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_14_v2:1457406-1458236(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023800.1-p1   -            731 11093at5820          -            195   6.7e-21   73.2   0.3   1   3       1.3   8.6e+02   -2.2   0.0    27    59   164   198   138   245 0.57 | transcript=PVP01_1023800.1 | gene=PVP01_1023800 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:1029851-1032046(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023800.1-p1   -            731 11093at5820          -            195   6.7e-21   73.2   0.3   2   3       1.4   8.9e+02   -2.3   0.2    93   129   426   462   415   514 0.56 | transcript=PVP01_1023800.1 | gene=PVP01_1023800 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:1029851-1032046(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023800.1-p1   -            731 11093at5820          -            195   6.7e-21   73.2   0.3   3   3     1e-23   6.7e-21   73.2   0.3    53   169   609   725   579   730 0.84 | transcript=PVP01_1023800.1 | gene=PVP01_1023800 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:1029851-1032046(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005100.1-p1   -            203 11093at5820          -            195   9.3e-21   72.7   0.2   1   1   2.4e-23   1.6e-20   72.0   0.2    18   166    53   191    47   201 0.83 | transcript=PVP01_1005100.1 | gene=PVP01_1005100 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:242428-243039(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117200.1-p1   -            590 11093at5820          -            195   1.6e-08   32.8   0.4   1   2   0.00021      0.14   10.1   0.0     8    74     7    75     3    90 0.85 | transcript=PVP01_0117200.1 | gene=PVP01_0117200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_01_v2:778390-780162(-) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
