#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1209700.1-p1   -            157 13591at5820          -            132   2.2e-71  237.0   0.7   1   1   5.4e-74   2.9e-71  236.5   0.7     2   132    13   157    12   157 0.92 | transcript=PVP01_1209700.1 | gene=PVP01_1209700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=PvP01_12_v2:398246-399338(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 13591at5820          -            132   3.8e-12   45.3   0.1   1   2   1.9e-10     1e-07   31.0   0.0    37   109    39   114    15   120 0.82 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 13591at5820          -            132   3.8e-12   45.3   0.1   2   2   0.00018     0.098   11.6   0.0    48   108   374   436   361   442 0.82 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249700.1-p1   -            104 13591at5820          -            132   1.4e-11   43.5   0.1   1   1   2.8e-14   1.5e-11   43.4   0.1    40   112    13    84     6   102 0.89 | transcript=PVP01_1249700.1 | gene=PVP01_1249700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=PvP01_12_v2:2029499-2029947(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202300.1-p1   -            209 13591at5820          -            132   2.2e-10   39.6   0.1   1   1   7.5e-13   4.1e-10   38.7   0.1    49   117    49   117    25   130 0.88 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 13591at5820          -            132   3.3e-08   32.5   2.4   1   1   1.6e-10   8.9e-08   31.1   2.4    24   128   174   283   168   287 0.77 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714500.1-p1   -            179 13591at5820          -            132   5.4e-08   31.9   0.1   1   1   1.6e-10   8.7e-08   31.2   0.1    23   126    65   168    46   174 0.77 | transcript=PVP01_0714500.1 | gene=PVP01_0714500 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=PvP01_07_v2:663476-664676(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 13591at5820          -            132   3.6e-07   29.2   4.8   1   3   1.1e-05     0.006   15.5   0.5    44   117    47   117    34   133 0.85 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 13591at5820          -            132   3.6e-07   29.2   4.8   2   3       3.2   1.7e+03   -2.2   0.0    77   105   139   169   131   185 0.59 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 13591at5820          -            132   3.6e-07   29.2   4.8   3   3   2.6e-05     0.014   14.3   0.0    45   103   184   244   169   274 0.89 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419500.1-p1   -            550 13591at5820          -            132   3.3e-06   26.1   1.5   1   2   1.5e-08     8e-06   24.8   0.3    41   111    60   136    45   146 0.85 | transcript=PVP01_1419500.1 | gene=PVP01_1419500 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin, putative | transcript_product=thioredoxin, putative | location=PvP01_14_v2:844483-846135(+) | protein_length=550 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419500.1-p1   -            550 13591at5820          -            132   3.3e-06   26.1   1.5   2   2       2.4   1.3e+03   -1.7   0.0    22    45   295   318   278   320 0.76 | transcript=PVP01_1419500.1 | gene=PVP01_1419500 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin, putative | transcript_product=thioredoxin, putative | location=PvP01_14_v2:844483-846135(+) | protein_length=550 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724000.1-p1   -            133 13591at5820          -            132   6.9e-06   25.0   0.0   1   1   1.9e-08     1e-05   24.5   0.0    45   114    41   109    18   121 0.86 | transcript=PVP01_0724000.1 | gene=PVP01_0724000 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=PvP01_07_v2:1027022-1028145(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836600.1-p1   -            179 13591at5820          -            132   6.5e-05   21.9   6.5   1   1   6.3e-05     0.034   13.1   6.5    26   114    29   138    13   160 0.64 | transcript=PVP01_0836600.1 | gene=PVP01_0836600 | organism=Plasmodium_vivax_P01 | gene_product=plasmoredoxin, putative | transcript_product=plasmoredoxin, putative | location=PvP01_08_v2:1540771-1541310(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244800.1-p1   -            121 13591at5820          -            132   0.00054   18.9   1.5   1   1   1.1e-06   0.00061   18.7   1.5    24   116     7   100     2   115 0.71 | transcript=PVP01_1244800.1 | gene=PVP01_1244800 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=PvP01_12_v2:1852999-1853364(+) | protein_length=121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 13591at5820          -            132    0.0037   16.2   0.4   1   3       1.5     8e+02   -1.1   0.1    29    62    43    76    29   110 0.57 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 13591at5820          -            132    0.0037   16.2   0.4   2   3   6.8e-06    0.0037   16.2   0.4    67   112   193   237   186   255 0.82 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 13591at5820          -            132    0.0037   16.2   0.4   3   3      0.58   3.2e+02    0.2   0.0    80   107   342   369   327   396 0.78 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13591at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13591at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13591at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:49 2026
# [ok]
