#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0923100.1-p1   -           1893 947at5820            -            969         0 1134.4  89.7   1  10    0.0034        22    1.1   0.8     9    40    43    75    37    86 0.81 | transcript=PVP01_0923100.1 | gene=PVP01_0923100 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=PvP01_09_v2:1001911-1007592(+) | protein_length=1893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923100.1-p1   -           1893 947at5820            -            969         0 1134.4  89.7   2  10   2.5e-21   1.6e-17   61.1   8.4     5    88    69   155    64   191 0.78 | transcript=PVP01_0923100.1 | gene=PVP01_0923100 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=PvP01_09_v2:1001911-1007592(+) | protein_length=1893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923100.1-p1   -           1893 947at5820            -            969         0 1134.4  89.7   3  10   2.1e-39   1.4e-35  120.9   3.9   111   195   286   373   264   396 0.81 | transcript=PVP01_0923100.1 | gene=PVP01_0923100 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=PvP01_09_v2:1001911-1007592(+) | protein_length=1893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923100.1-p1   -           1893 947at5820            -            969         0 1134.4  89.7   4  10   1.7e-14   1.1e-10   38.5   4.9   194   297   404   508   391   518 0.75 | transcript=PVP01_0923100.1 | gene=PVP01_0923100 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=PvP01_09_v2:1001911-1007592(+) | protein_length=1893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923100.1-p1   -           1893 947at5820            -            969         0 1134.4  89.7   5  10     0.097   6.3e+02   -3.7   0.1   256   275   547   565   545   570 0.84 | transcript=PVP01_0923100.1 | gene=PVP01_0923100 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=PvP01_09_v2:1001911-1007592(+) | protein_length=1893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923100.1-p1   -           1893 947at5820            -            969         0 1134.4  89.7   6  10   1.8e-55   1.2e-51  174.1   6.9   302   413   645   756   642   792 0.94 | transcript=PVP01_0923100.1 | gene=PVP01_0923100 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=PvP01_09_v2:1001911-1007592(+) | protein_length=1893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923100.1-p1   -           1893 947at5820            -            969         0 1134.4  89.7   7  10    0.0059        39    0.3   1.3   385   452   768   842   759   878 0.77 | transcript=PVP01_0923100.1 | gene=PVP01_0923100 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=PvP01_09_v2:1001911-1007592(+) | protein_length=1893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923100.1-p1   -           1893 947at5820            -            969         0 1134.4  89.7   8  10   8.2e-07    0.0054   13.0   0.4   438   489   923   974   904  1012 0.75 | transcript=PVP01_0923100.1 | gene=PVP01_0923100 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=PvP01_09_v2:1001911-1007592(+) | protein_length=1893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923100.1-p1   -           1893 947at5820            -            969         0 1134.4  89.7   9  10   9.9e-53   6.4e-49  165.0   2.2   498   646  1214  1379  1158  1399 0.83 | transcript=PVP01_0923100.1 | gene=PVP01_0923100 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=PvP01_09_v2:1001911-1007592(+) | protein_length=1893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923100.1-p1   -           1893 947at5820            -            969         0 1134.4  89.7  10  10  9.9e-185  6.4e-181  601.9   6.4   675   969  1586  1893  1545  1893 0.91 | transcript=PVP01_0923100.1 | gene=PVP01_0923100 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC10, putative | transcript_product=protein KIC10, putative | location=PvP01_09_v2:1001911-1007592(+) | protein_length=1893 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/947at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/947at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/947at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:18 2026
# [ok]
