#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0320700.1-p1   -           1247 3072at5820           -            710         0 1058.6  55.9   1   7    1e-169  1.7e-166  554.2   9.9     1   241    28   268    28   291 0.97 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 3072at5820           -            710         0 1058.6  55.9   2   7  2.7e-104  4.5e-101  338.0   3.4   235   414   301   480   294   487 0.96 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 3072at5820           -            710         0 1058.6  55.9   3   7   1.7e-13   2.7e-10   37.9   0.0   413   456   550   593   538   614 0.86 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 3072at5820           -            710         0 1058.6  55.9   4   7   8.1e-13   1.3e-09   35.6   3.6   470   575   785   897   733   919 0.63 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 3072at5820           -            710         0 1058.6  55.9   5   7   2.1e-09   3.5e-06   24.3   0.2   566   629   996  1062   984  1096 0.79 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 3072at5820           -            710         0 1058.6  55.9   6   7    0.0096        16    2.3   0.1   616   650  1107  1139  1091  1150 0.83 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320700.1-p1   -           1247 3072at5820           -            710         0 1058.6  55.9   7   7   4.6e-29   7.6e-26   89.3   4.8   656   710  1193  1247  1186  1247 0.95 | transcript=PVP01_0320700.1 | gene=PVP01_0320700 | organism=Plasmodium_vivax_P01 | gene_product=exonuclease I, putative | transcript_product=exonuclease I, putative | location=PvP01_03_v2:874594-878337(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307800.1-p1   -            633 3072at5820           -            710   1.1e-13   49.1  26.8   1   2   1.2e-09     2e-06   25.1   0.0    66   191    76   197     1   204 0.78 | transcript=PVP01_0307800.1 | gene=PVP01_0307800 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=PvP01_03_v2:375864-377765(-) | protein_length=633 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307800.1-p1   -            633 3072at5820           -            710   1.1e-13   49.1  26.8   2   2   1.7e-06    0.0027   14.7  27.8   243   370   200   311   190   520 0.62 | transcript=PVP01_0307800.1 | gene=PVP01_0307800 | organism=Plasmodium_vivax_P01 | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=PvP01_03_v2:375864-377765(-) | protein_length=633 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 3072at5820           -            710   2.4e-06   24.8   1.5   1   5   9.1e-06     0.015   12.3   1.2    45   108    72   139    68   145 0.83 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419100.1-p1   -           1466 3072at5820           -            710   2.4e-06   24.8   1.5   2   5      0.28   4.6e+02   -2.6   0.5   513   561   318   365   240   397 0.66 | transcript=PVP01_0419100.1 | gene=PVP01_0419100 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=PvP01_04_v2:790312-794712(+) | protein_length=1466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
