#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1416900.1-p1   -            341 8608at5820           -            286  3.7e-170  563.1   5.2   1   1  2.5e-172  4.5e-170  562.9   5.2     1   286    28   341    28   341 0.94 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 8608at5820           -            286     3e-46  156.5   0.4   1   1   2.3e-48     4e-46  156.1   0.4     2   285   112   400   111   401 0.83 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 8608at5820           -            286   1.6e-34  118.0  12.3   1   3   4.8e-15   8.5e-13   46.7   0.8     2    83    34   115    33   135 0.90 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 8608at5820           -            286   1.6e-34  118.0  12.3   2   3    0.0042      0.74    7.6   0.2   104   137   235   271   220   292 0.74 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513200.1-p1   -            800 8608at5820           -            286   1.6e-34  118.0  12.3   3   3   2.8e-22   4.9e-20   70.5   0.7   136   284   573   717   561   719 0.82 | transcript=PVP01_0513200.1 | gene=PVP01_0513200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 1, putative | transcript_product=protein kinase 1, putative | location=PvP01_05_v2:547872-550471(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 8608at5820           -            286   2.3e-32  111.0   2.4   1   2   1.8e-34   3.1e-32  110.5   2.0     3   201     9   223     7   229 0.79 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 8608at5820           -            286   2.3e-32  111.0   2.4   2   2       8.3   1.5e+03   -3.2   0.0   248   275   256   283   251   294 0.71 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 8608at5820           -            286   1.4e-29  101.8   2.2   1   1   1.1e-31     2e-29  101.3   2.2     2   277    19   301    18   311 0.75 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 8608at5820           -            286   8.9e-29   99.2   0.0   1   1   6.8e-31   1.2e-28   98.8   0.0     2   285     3   285     2   286 0.83 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 8608at5820           -            286   2.4e-25   87.9   5.8   1   2   1.8e-15   3.1e-13   48.2   2.0     2   147   171   323   170   329 0.85 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914700.1-p1   -            575 8608at5820           -            286   2.4e-25   87.9   5.8   2   2   4.4e-13   7.8e-11   40.3   0.1   153   284   358   512   350   514 0.73 | transcript=PVP01_0914700.1 | gene=PVP01_0914700 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=PvP01_09_v2:671593-673320(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
