#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0711500.1-p1   -            769 4573at5820           -            540  3.3e-246  816.5  39.0   1   2   7.5e-74   1.2e-70  237.0   1.5    48   215   220   394   209   403 0.93 | transcript=PVP01_0711500.1 | gene=PVP01_0711500 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:556724-559033(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0711500.1-p1   -            769 4573at5820           -            540  3.3e-246  816.5  39.0   2   2  6.8e-178  1.1e-174  580.4  30.1   211   540   414   769   411   769 0.93 | transcript=PVP01_0711500.1 | gene=PVP01_0711500 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:556724-559033(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 4573at5820           -            540     0.032   11.2  16.8   1   3   4.4e-05     0.072   10.1   2.2   431   506   205   280   201   287 0.90 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 4573at5820           -            540     0.032   11.2  16.8   2   3   3.7e-05      0.06   10.3   2.0   236   272   291   327   276   332 0.74 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 4573at5820           -            540     0.032   11.2  16.8   3   3      0.15   2.4e+02   -1.6   0.6   398   419   492   513   463   597 0.62 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 4573at5820           -            540     0.042   10.8   6.5   1   2   0.00011      0.18    8.8   1.4   428   497    60   133    44   145 0.81 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 4573at5820           -            540     0.042   10.8   6.5   2   2    0.0023       3.7    4.4   0.3   233   271   538   576   522   616 0.78 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 4573at5820           -            540     0.079    9.9  46.2   1   3   0.00011      0.18    8.8  17.2    19   266    43   297    27   304 0.71 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 4573at5820           -            540     0.079    9.9  46.2   2   3   3.8e-05     0.062   10.3  12.4   352   475   300   423   292   449 0.82 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 4573at5820           -            540     0.079    9.9  46.2   3   3      0.07   1.1e+02   -0.5   9.1   216   321   409   514   403   521 0.62 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4573at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
