#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1334000.1-p1   -           1017 2610at5820           -            719         0 1123.4  41.2   1   5   2.9e-18   6.2e-15   53.1   0.0     6    64    20    91    15    98 0.81 | transcript=PVP01_1334000.1 | gene=PVP01_1334000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=PvP01_13_v2:1463355-1466408(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334000.1-p1   -           1017 2610at5820           -            719         0 1123.4  41.2   2   5   8.9e-07    0.0019   15.1   0.0    62    93   114   146   106   149 0.91 | transcript=PVP01_1334000.1 | gene=PVP01_1334000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=PvP01_13_v2:1463355-1466408(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334000.1-p1   -           1017 2610at5820           -            719         0 1123.4  41.2   3   5  1.6e-232  3.4e-229  761.4  28.9    90   550   196   691   193   700 0.93 | transcript=PVP01_1334000.1 | gene=PVP01_1334000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=PvP01_13_v2:1463355-1466408(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334000.1-p1   -           1017 2610at5820           -            719         0 1123.4  41.2   4   5     6e-09   1.3e-05   22.3   0.0   547   572   719   744   710   759 0.89 | transcript=PVP01_1334000.1 | gene=PVP01_1334000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=PvP01_13_v2:1463355-1466408(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334000.1-p1   -           1017 2610at5820           -            719         0 1123.4  41.2   5   5   7.4e-86   1.6e-82  276.5   0.3   572   719   862  1009   859  1009 0.99 | transcript=PVP01_1334000.1 | gene=PVP01_1334000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=PvP01_13_v2:1463355-1466408(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 2610at5820           -            719   2.8e-08   31.1   0.8   1   2   5.5e-08   0.00012   19.1   0.2   315   410   496   583   463   592 0.71 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 2610at5820           -            719   2.8e-08   31.1   0.8   2   2   2.8e-05     0.061   10.1   0.0   306   357   807   858   794   988 0.84 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 2610at5820           -            719   3.4e-05   20.9   2.3   1   2     5e-08   0.00011   19.2   0.2   301   355   309   371   304   423 0.78 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 2610at5820           -            719   3.4e-05   20.9   2.3   2   2     0.014        31    1.2   0.1   442   489   468   516   454   525 0.88 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2610at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2610at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2610at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:54 2026
# [ok]
