#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0612800.1-p1   -            179 12446at5820          -            172  4.3e-112  370.5  10.5   1   1  1.3e-114  4.6e-112  370.4  10.5     3   172     9   179     1   179 0.98 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207800.1-p1   -            168 12446at5820          -            172   5.6e-67  223.6  11.5   1   1   1.7e-69   6.1e-67  223.5  11.5    12   172     7   168     1   168 0.95 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 12446at5820          -            172   9.5e-41  138.2   6.1   1   1     3e-43   1.1e-40  138.0   6.1    23   170    18   166     3   168 0.92 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 12446at5820          -            172   6.7e-32  109.4   7.9   1   1   2.3e-34   8.2e-32  109.1   7.9    25   166     4   146     2   149 0.97 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 12446at5820          -            172   2.5e-28   97.8   7.7   1   1   8.8e-31   3.2e-28   97.5   7.7    26   166    11   152     5   157 0.94 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12446at5820          -            172   1.4e-10   40.0   7.3   1   2    0.0059       2.1    6.9   0.8    92   150   368   430   350   435 0.80 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12446at5820          -            172   1.4e-10   40.0   7.3   2   2   6.4e-12   2.3e-09   36.0   1.2    72   166   432   523   424   529 0.83 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262800.1-p1   -            207 12446at5820          -            172   1.1e-09   37.1   1.5   1   2   3.1e-12   1.1e-09   37.1   1.5    83   162    22   104    10   114 0.81 | transcript=PVP01_1262800.1 | gene=PVP01_1262800 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_12_v2:2582239-2583395(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262800.1-p1   -            207 12446at5820          -            172   1.1e-09   37.1   1.5   2   2      0.15        56    2.3   0.3   109   145   128   165    99   192 0.59 | transcript=PVP01_1262800.1 | gene=PVP01_1262800 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_12_v2:2582239-2583395(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 12446at5820          -            172   1.9e-09   36.3   2.2   1   1   1.3e-11   4.6e-09   35.1   2.2    31   169   462   603   451   604 0.82 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 12446at5820          -            172   6.7e-08   31.3   8.2   1   1   5.4e-10     2e-07   29.8   8.2    36   166    32   164    10   169 0.82 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463500.1-p1   -            209 12446at5820          -            172   9.2e-08   30.8   0.9   1   1   4.1e-10   1.5e-07   30.2   0.9    31   150    76   193    62   208 0.81 | transcript=PVP01_1463500.1 | gene=PVP01_1463500 | organism=Plasmodium_vivax_P01 | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=PvP01_14_v2:2737238-2737867(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 12446at5820          -            172   1.8e-07   29.9  10.1   1   2       2.5   9.1e+02   -1.7   0.1   103   115   127   139    47   142 0.55 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 12446at5820          -            172   1.8e-07   29.9  10.1   2   2   4.9e-10   1.8e-07   29.9  10.1    27   168   372   519   366   523 0.77 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122300.1-p1   -            140 12446at5820          -            172   5.3e-07   28.4   0.9   1   2   0.00012     0.044   12.4   0.0   115   166    50   102     5   104 0.71 | transcript=PVP01_1122300.1 | gene=PVP01_1122300 | organism=Plasmodium_vivax_P01 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=PvP01_11_v2:986263-987871(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122300.1-p1   -            140 12446at5820          -            172   5.3e-07   28.4   0.9   2   2   2.6e-07   9.6e-05   21.0   0.2   101   165    73   136    33   140 0.80 | transcript=PVP01_1122300.1 | gene=PVP01_1122300 | organism=Plasmodium_vivax_P01 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=PvP01_11_v2:986263-987871(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 12446at5820          -            172   6.8e-07   28.0   5.7   1   2   0.00098      0.36    9.4   0.3   105   166   425   485   411   491 0.80 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 12446at5820          -            172   6.8e-07   28.0   5.7   2   2   8.3e-07    0.0003   19.4   1.2    33    94   496   560   487   563 0.82 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12446at5820          -            172   1.9e-06   26.6   9.6   1   2     4e-05     0.015   13.9   0.6    32   149    11    56     1    75 0.59 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12446at5820          -            172   1.9e-06   26.6   9.6   2   2   4.8e-06    0.0017   16.9   2.9    69   149   135   215   112   229 0.88 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423500.1-p1   -            244 12446at5820          -            172   0.00038   19.1  14.8   1   2      0.51   1.9e+02    0.6   5.4    26    76    10    60     5   114 0.73 | transcript=PVP01_1423500.1 | gene=PVP01_1423500 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_14_v2:1036514-1037658(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423500.1-p1   -            244 12446at5820          -            172   0.00038   19.1  14.8   2   2   1.6e-05    0.0058   15.2  10.3    76   148   142   215    61   243 0.67 | transcript=PVP01_1423500.1 | gene=PVP01_1423500 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_14_v2:1036514-1037658(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330600.1-p1   -            136 12446at5820          -            172    0.0014   17.2   1.7   1   1   7.5e-06    0.0027   16.3   1.7    34   162     8   130     3   135 0.82 | transcript=PVP01_1330600.1 | gene=PVP01_1330600 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:1281637-1282047(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
