#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1444900.1-p1   -            638 5553at5820           -            506  5.5e-265  878.3  54.7   1   4   6.8e-06    0.0064   13.7   4.6     5    32    14    43     1    48 0.68 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 5553at5820           -            506  5.5e-265  878.3  54.7   2   4   2.5e-37   2.3e-34  117.5  15.5     2   135    48   193    47   197 0.86 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 5553at5820           -            506  5.5e-265  878.3  54.7   3   4   3.1e-20   2.9e-17   61.0   0.2   135   179   237   291   230   301 0.91 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 5553at5820           -            506  5.5e-265  878.3  54.7   4   4  2.3e-214  2.1e-211  701.5  14.1   177   506   309   638   303   638 0.99 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5553at5820           -            506   1.2e-09   35.9   7.3   1   3      0.33     3e+02   -1.7   0.0   335   360    26    54    17    60 0.59 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5553at5820           -            506   1.2e-09   35.9   7.3   2   3   9.3e-11   8.7e-08   29.8   0.1   287   359    69   144    60   154 0.74 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5553at5820           -            506   1.2e-09   35.9   7.3   3   3   0.00018      0.17    9.0   1.3   303   443   175   319   169   322 0.67 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 5553at5820           -            506   3.6e-07   27.8   8.3   1   2   5.1e-06    0.0047   14.2   3.4   272   363    73   156    33   171 0.73 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 5553at5820           -            506   3.6e-07   27.8   8.3   2   2   1.8e-06    0.0017   15.6   0.2   303   436   179   319   172   323 0.74 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 5553at5820           -            506   4.9e-05   20.7  13.4   1   2    0.0075         7    3.7   7.1   233   376    85   234    69   254 0.70 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 5553at5820           -            506   4.9e-05   20.7  13.4   2   2   9.1e-08   8.5e-05   19.9   0.3   232   281   292   342   269   356 0.83 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
