#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0315000.1-p1   -            855 3221at5820           -            511  1.9e-286  949.4  34.3   1   5  2.2e-109  1.8e-106  355.6   1.6     1   164     1   169     1   173 0.97 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315000.1-p1   -            855 3221at5820           -            511  1.9e-286  949.4  34.3   2   5     2e-07   0.00016   19.2   0.1   164   190   325   360   318   365 0.78 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315000.1-p1   -            855 3221at5820           -            511  1.9e-286  949.4  34.3   3   5   3.3e-81   2.7e-78  262.6   4.8   190   338   383   545   376   550 0.93 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315000.1-p1   -            855 3221at5820           -            511  1.9e-286  949.4  34.3   4   5   2.7e-23   2.2e-20   71.6   0.3   334   390   602   660   594   665 0.89 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315000.1-p1   -            855 3221at5820           -            511  1.9e-286  949.4  34.3   5   5   8.7e-80   7.1e-77  257.9   2.8   385   511   726   852   717   852 0.98 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 3221at5820           -            511   1.4e-22   78.8   0.1   1   3   6.8e-06    0.0056   14.2   0.0    11   146     7   142     3   152 0.75 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 3221at5820           -            511   1.4e-22   78.8   0.1   2   3   4.1e-07   0.00034   18.2   0.1   248   330   154   238   146   243 0.75 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 3221at5820           -            511   1.4e-22   78.8   0.1   3   3     1e-14   8.5e-12   43.2   0.0   390   510   247   366   240   367 0.94 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210900.1-p1   -            379 3221at5820           -            511   1.4e-22   78.8   0.7   1   3   6.7e-05     0.054   10.9   0.0    12   148    14   149     9   160 0.71 | transcript=PVP01_0210900.1 | gene=PVP01_0210900 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=PvP01_02_v2:443680-446361(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210900.1-p1   -            379 3221at5820           -            511   1.4e-22   78.8   0.7   2   3   9.3e-07   0.00076   17.0   0.2   258   326   169   239   152   243 0.75 | transcript=PVP01_0210900.1 | gene=PVP01_0210900 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=PvP01_02_v2:443680-446361(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210900.1-p1   -            379 3221at5820           -            511   1.4e-22   78.8   0.7   3   3   5.1e-16   4.1e-13   47.6   0.0   394   504   254   363   249   372 0.88 | transcript=PVP01_0210900.1 | gene=PVP01_0210900 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=PvP01_02_v2:443680-446361(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
