#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1124200.1-p1   -           1221 2263at5820           -            755         0 1200.0  61.7   1   7   6.4e-06      0.01   12.6   0.2     1    34    35    72    35    80 0.87 | transcript=PVP01_1124200.1 | gene=PVP01_1124200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=PvP01_11_v2:1052847-1056512(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124200.1-p1   -           1221 2263at5820           -            755         0 1200.0  61.7   2   7   3.1e-24     5e-21   73.2   0.3    29    88    92   164    82   175 0.81 | transcript=PVP01_1124200.1 | gene=PVP01_1124200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=PvP01_11_v2:1052847-1056512(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124200.1-p1   -           1221 2263at5820           -            755         0 1200.0  61.7   3   7   1.4e-38   2.2e-35  120.6   2.4   100   206   274   400   264   403 0.86 | transcript=PVP01_1124200.1 | gene=PVP01_1124200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=PvP01_11_v2:1052847-1056512(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124200.1-p1   -           1221 2263at5820           -            755         0 1200.0  61.7   4   7     2e-16   3.2e-13   47.4   0.3   192   229   416   453   410   466 0.82 | transcript=PVP01_1124200.1 | gene=PVP01_1124200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=PvP01_11_v2:1052847-1056512(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124200.1-p1   -           1221 2263at5820           -            755         0 1200.0  61.7   5   7   7.3e-76   1.2e-72  243.9   7.3   228   371   486   629   481   637 0.98 | transcript=PVP01_1124200.1 | gene=PVP01_1124200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=PvP01_11_v2:1052847-1056512(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124200.1-p1   -           1221 2263at5820           -            755         0 1200.0  61.7   6   7   2.3e-68   3.8e-65  219.1   9.4   372   482   748   859   741   863 0.97 | transcript=PVP01_1124200.1 | gene=PVP01_1124200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=PvP01_11_v2:1052847-1056512(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124200.1-p1   -           1221 2263at5820           -            755         0 1200.0  61.7   7   7  3.3e-156  5.4e-153  509.5   2.4   481   755   911  1214   875  1214 0.89 | transcript=PVP01_1124200.1 | gene=PVP01_1124200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial DNA polymerase, putative | transcript_product=mitochondrial DNA polymerase, putative | location=PvP01_11_v2:1052847-1056512(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337500.1-p1   -           1860 2263at5820           -            755   3.2e-21   73.8  33.2   1   3      0.34   5.6e+02   -3.0   1.0    94   145   519   569   513   590 0.71 | transcript=PVP01_1337500.1 | gene=PVP01_1337500 | organism=Plasmodium_vivax_P01 | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=PvP01_13_v2:1612320-1617902(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337500.1-p1   -           1860 2263at5820           -            755   3.2e-21   73.8  33.2   2   3    0.0073        12    2.5   0.2   161   196  1383  1420  1359  1425 0.82 | transcript=PVP01_1337500.1 | gene=PVP01_1337500 | organism=Plasmodium_vivax_P01 | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=PvP01_13_v2:1612320-1617902(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337500.1-p1   -           1860 2263at5820           -            755   3.2e-21   73.8  33.2   3   3     2e-24   3.2e-21   73.8  33.2   273   642  1443  1799  1426  1843 0.68 | transcript=PVP01_1337500.1 | gene=PVP01_1337500 | organism=Plasmodium_vivax_P01 | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=PvP01_13_v2:1612320-1617902(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416900.1-p1   -            341 2263at5820           -            755   0.00062   16.7   0.6   1   1   5.5e-07   0.00089   16.1   0.6   175   245    73   144    68   160 0.87 | transcript=PVP01_1416900.1 | gene=PVP01_1416900 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 alpha, putative | transcript_product=glycogen synthase kinase-3 alpha, putative | location=PvP01_14_v2:737461-740374(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
