#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0708400.1-p1   -           1392 1394at5820           -           1113         0 2229.0  83.5   1   4   6.9e-36   7.5e-33  111.8   7.8     1   116     1   192     1   196 0.89 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 1394at5820           -           1113         0 2229.0  83.5   2   4  1.1e-172  1.2e-169  564.7  11.1   116   368   283   535   279   542 0.98 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 1394at5820           -           1113         0 2229.0  83.5   3   4  2.8e-249  3.1e-246  818.4  21.9   370   755   586   979   579   987 0.97 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 1394at5820           -           1113         0 2229.0  83.5   4   4  3.2e-229  3.5e-226  752.0  18.6   754  1113  1031  1392  1027  1392 0.99 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 1394at5820           -           1113  1.8e-155  517.8  27.9   1   3  1.8e-138    2e-135  451.5  11.2   148   645   250   736   206   762 0.92 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 1394at5820           -           1113  1.8e-155  517.8  27.9   2   3      0.13   1.4e+02   -1.7   2.2   574   648  1068  1137  1058  1147 0.79 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 1394at5820           -           1113  1.8e-155  517.8  27.9   3   3   1.2e-25   1.3e-22   77.9   0.5   938  1112  1210  1384  1205  1384 0.90 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1394at5820           -           1113   4.8e-34  115.8  18.9   1   4   1.2e-06    0.0013   15.0   1.2   244   313   587   666   516   718 0.67 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1394at5820           -           1113   4.8e-34  115.8  18.9   2   4   5.1e-10   5.6e-07   26.1   0.3   469   563   769   865   694   891 0.83 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1394at5820           -           1113   4.8e-34  115.8  18.9   3   4     9e-13   9.7e-10   35.3   1.4   169   280  1416  1540  1403  1604 0.83 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1394at5820           -           1113   4.8e-34  115.8  18.9   4   4   9.2e-17     1e-13   48.5   0.2   467   566  1773  1874  1755  1927 0.83 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 1394at5820           -           1113   1.6e-20   71.0  13.6   1   6         6   6.5e+03  -15.5  14.3    23    42   260   279   240   292 0.40 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 1394at5820           -           1113   1.6e-20   71.0  13.6   2   6   3.2e-09   3.5e-06   23.5   0.9   169   289   719   859   699   867 0.68 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 1394at5820           -           1113   1.6e-20   71.0  13.6   3   6   9.3e-18     1e-14   51.8   0.7   402   567  1012  1177   948  1217 0.86 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 1394at5820           -           1113   1.6e-20   71.0  13.6   4   6       0.2   2.2e+02   -2.3   0.4   197   282  1761  1855  1740  1863 0.69 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 1394at5820           -           1113   1.6e-20   71.0  13.6   5   6     0.033        36    0.3   0.1   292   366  1946  2014  1939  2030 0.77 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 1394at5820           -           1113   1.6e-20   71.0  13.6   6   6   1.9e-09   2.1e-06   24.3   0.5   465   566  2062  2164  2054  2173 0.90 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
