#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1238700.1-p1   -           3088 518at5820            -           2167         0 3488.1 347.8   1   7  2.9e-248    4e-246  818.5  78.5     1   537     1   725     1   741 0.91 | transcript=PVP01_1238700.1 | gene=PVP01_1238700 | organism=Plasmodium_vivax_P01 | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=PvP01_12_v2:1539628-1548894(+) | protein_length=3088 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238700.1-p1   -           3088 518at5820            -           2167         0 3488.1 347.8   2   7    3e-233  4.1e-231  768.7  21.0   529   903   782  1177   741  1190 0.94 | transcript=PVP01_1238700.1 | gene=PVP01_1238700 | organism=Plasmodium_vivax_P01 | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=PvP01_12_v2:1539628-1548894(+) | protein_length=3088 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238700.1-p1   -           3088 518at5820            -           2167         0 3488.1 347.8   3   7  2.2e-209  2.9e-207  689.6   9.0   909  1238  1280  1618  1255  1624 0.88 | transcript=PVP01_1238700.1 | gene=PVP01_1238700 | organism=Plasmodium_vivax_P01 | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=PvP01_12_v2:1539628-1548894(+) | protein_length=3088 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238700.1-p1   -           3088 518at5820            -           2167         0 3488.1 347.8   4   7  9.5e-139  1.3e-136  455.3   5.8  1236  1474  1678  1934  1653  1988 0.84 | transcript=PVP01_1238700.1 | gene=PVP01_1238700 | organism=Plasmodium_vivax_P01 | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=PvP01_12_v2:1539628-1548894(+) | protein_length=3088 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238700.1-p1   -           3088 518at5820            -           2167         0 3488.1 347.8   5   7   6.3e-61   8.6e-59  197.2   0.0  1475  1609  2050  2204  1999  2251 0.72 | transcript=PVP01_1238700.1 | gene=PVP01_1238700 | organism=Plasmodium_vivax_P01 | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=PvP01_12_v2:1539628-1548894(+) | protein_length=3088 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238700.1-p1   -           3088 518at5820            -           2167         0 3488.1 347.8   6   7  7.3e-180  9.9e-178  591.7 121.9  1601  2166  2333  2966  2287  2967 0.66 | transcript=PVP01_1238700.1 | gene=PVP01_1238700 | organism=Plasmodium_vivax_P01 | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=PvP01_12_v2:1539628-1548894(+) | protein_length=3088 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238700.1-p1   -           3088 518at5820            -           2167         0 3488.1 347.8   7   7      0.38        52   -1.1  86.8  2053  2167  2924  3044  2921  3044 0.56 | transcript=PVP01_1238700.1 | gene=PVP01_1238700 | organism=Plasmodium_vivax_P01 | gene_product=MORC family protein, putative | transcript_product=MORC family protein, putative | location=PvP01_12_v2:1539628-1548894(+) | protein_length=3088 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 518at5820            -           2167   4.4e-06   22.4  21.0   1   1   4.4e-08   5.9e-06   22.0  21.0  1638  1784   169   316    59   367 0.43 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329200.1-p1   -            489 518at5820            -           2167   1.4e-05   20.7  45.8   1   2   1.1e-07   1.4e-05   20.7  45.8  1556  1795     4   239     2   271 0.42 | transcript=PVP01_1329200.1 | gene=PVP01_1329200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit H, putative | transcript_product=eukaryotic translation initiation factor 3 subunit H, putative | location=PvP01_13_v2:1234119-1235590(-) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329200.1-p1   -            489 518at5820            -           2167   1.4e-05   20.7  45.8   2   2      0.64        87   -1.8   8.9  1596  1678   357   438   293   446 0.67 | transcript=PVP01_1329200.1 | gene=PVP01_1329200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit H, putative | transcript_product=eukaryotic translation initiation factor 3 subunit H, putative | location=PvP01_13_v2:1234119-1235590(-) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325300.1-p1   -           1486 518at5820            -           2167   5.8e-05   18.7  22.6   1   2   4.3e-07   5.8e-05   18.7  22.6  1628  1715   393   483   336   603 0.53 | transcript=PVP01_1325300.1 | gene=PVP01_1325300 | organism=Plasmodium_vivax_P01 | gene_product=NTF2-like domain-containing protein, putative | transcript_product=NTF2-like domain-containing protein, putative | location=PvP01_13_v2:1095639-1100099(+) | protein_length=1486 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325300.1-p1   -           1486 518at5820            -           2167   5.8e-05   18.7  22.6   2   2      0.03       4.1    2.6  14.8  1667  1749   943  1027   915  1052 0.29 | transcript=PVP01_1325300.1 | gene=PVP01_1325300 | organism=Plasmodium_vivax_P01 | gene_product=NTF2-like domain-containing protein, putative | transcript_product=NTF2-like domain-containing protein, putative | location=PvP01_13_v2:1095639-1100099(+) | protein_length=1486 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 518at5820            -           2167   8.9e-05   18.1  11.1   1   3       6.3   8.6e+02   -5.1   6.2   235   278    16    58     4   123 0.37 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 518at5820            -           2167   8.9e-05   18.1  11.1   2   3   6.6e-07   8.9e-05   18.1  11.1   674   902   150   365   142   381 0.71 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
