#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1422300.1-p1   -           1164 2563at5820           -            842         0 1583.3 114.4   1   3   1.3e-05     0.022   11.5   2.3     4    69    44   116    41   153 0.71 | transcript=PVP01_1422300.1 | gene=PVP01_1422300 | organism=Plasmodium_vivax_P01 | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=PvP01_14_v2:970600-975838(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422300.1-p1   -           1164 2563at5820           -            842         0 1583.3 114.4   2   3   1.2e-05      0.02   11.6  13.6    32   102   170   232   149   283 0.68 | transcript=PVP01_1422300.1 | gene=PVP01_1422300 | organism=Plasmodium_vivax_P01 | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=PvP01_14_v2:970600-975838(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422300.1-p1   -           1164 2563at5820           -            842         0 1583.3 114.4   3   3         0         0 1572.0  83.0    26   842   307  1164   282  1164 0.93 | transcript=PVP01_1422300.1 | gene=PVP01_1422300 | organism=Plasmodium_vivax_P01 | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=PvP01_14_v2:970600-975838(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422400.1-p1   -            783 2563at5820           -            842   1.5e-68  230.4  59.0   1   2   1.8e-06     0.003   14.3  33.0   108   443    11   360     6   380 0.66 | transcript=PVP01_1422400.1 | gene=PVP01_1422400 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=PvP01_14_v2:979170-982949(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422400.1-p1   -            783 2563at5820           -            842   1.5e-68  230.4  59.0   2   2   3.7e-69     6e-66  221.8  17.9   521   807   470   752   445   765 0.92 | transcript=PVP01_1422400.1 | gene=PVP01_1422400 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=PvP01_14_v2:979170-982949(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308600.1-p1   -           1005 2563at5820           -            842   7.4e-64  214.8  32.8   1   1   2.6e-66   4.2e-63  212.3  32.8   514   812   690   990   541   996 0.87 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236300.1-p1   -            803 2563at5820           -            842   1.5e-41  141.0  23.1   1   3         4   6.5e+03  -10.5  18.9   141   341    43   253    27   279 0.64 | transcript=PVP01_1236300.1 | gene=PVP01_1236300 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=PvP01_12_v2:1443594-1446876(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236300.1-p1   -            803 2563at5820           -            842   1.5e-41  141.0  23.1   2   3   9.3e-45   1.5e-41  141.0  23.1   471   738   345   627   327   688 0.81 | transcript=PVP01_1236300.1 | gene=PVP01_1236300 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=PvP01_12_v2:1443594-1446876(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236300.1-p1   -            803 2563at5820           -            842   1.5e-41  141.0  23.1   3   3   2.1e-05     0.035   10.8   4.3   753   826   689   762   675   771 0.76 | transcript=PVP01_1236300.1 | gene=PVP01_1236300 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=PvP01_12_v2:1443594-1446876(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2563at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2563at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2563at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:42 2026
# [ok]
