#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1022700.1-p1   -           1374 1384at5820           -            902         0 1479.3 111.8   1   5   5.9e-78   3.8e-75  252.1  11.8     2   184    80   303    79   305 0.86 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 1384at5820           -            902         0 1479.3 111.8   2   5    7e-102   4.6e-99  331.3  12.4   182   383   352   558   341   562 0.97 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 1384at5820           -            902         0 1479.3 111.8   3   5   0.00028      0.19    8.3   0.6   380   400   655   675   651   684 0.86 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 1384at5820           -            902         0 1479.3 111.8   4   5  2.8e-191  1.8e-188  627.1  47.6   393   720   700  1036   686  1079 0.95 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 1384at5820           -            902         0 1479.3 111.8   5   5   1.2e-85     8e-83  277.6   9.0   733   902  1190  1374  1187  1374 0.95 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 1384at5820           -            902   8.8e-30  102.1  48.8   1   3   7.2e-18   4.7e-15   53.3  14.6   560   692     7   135     2   136 0.91 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 1384at5820           -            902   8.8e-30  102.1  48.8   2   3   1.6e-06     0.001   15.8   1.6   622   671   116   170   114   173 0.85 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616300.1-p1   -            369 1384at5820           -            902   8.8e-30  102.1  48.8   3   3   5.3e-16   3.4e-13   47.1  20.1   514   677   176   338   174   352 0.84 | transcript=PVP01_0616300.1 | gene=PVP01_0616300 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=PvP01_06_v2:675252-676361(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 1384at5820           -            902   4.1e-17   60.1  28.5   1   2   6.1e-10     4e-07   27.1   0.7   629   678    44    93    38    95 0.92 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 1384at5820           -            902   4.1e-17   60.1  28.5   2   2   5.3e-13   3.4e-10   37.2  22.1   541   676    93   232    89   313 0.85 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 1384at5820           -            902   3.9e-06   23.8  31.3   1   2   2.4e-05     0.016   11.9   6.9   508   602   150   242    93   246 0.63 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
