#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0104600.1-p1   -            805 3079at5820           -            559         0 1043.4  57.1   1   4  2.1e-232  1.4e-229  762.0  28.1     1   363     1   364     1   377 0.99 | transcript=PVP01_0104600.1 | gene=PVP01_0104600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein, putative | transcript_product=phosphoinositide-binding protein, putative | location=PvP01_01_v2:239525-241942(+) | protein_length=805 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104600.1-p1   -            805 3079at5820           -            559         0 1043.4  57.1   2   4   8.4e-65   5.5e-62  208.7   0.7   360   470   398   507   392   512 0.94 | transcript=PVP01_0104600.1 | gene=PVP01_0104600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein, putative | transcript_product=phosphoinositide-binding protein, putative | location=PvP01_01_v2:239525-241942(+) | protein_length=805 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104600.1-p1   -            805 3079at5820           -            559         0 1043.4  57.1   3   4   8.4e-21   5.5e-18   63.4  11.1   460   539   525   628   516   634 0.80 | transcript=PVP01_0104600.1 | gene=PVP01_0104600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein, putative | transcript_product=phosphoinositide-binding protein, putative | location=PvP01_01_v2:239525-241942(+) | protein_length=805 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104600.1-p1   -            805 3079at5820           -            559         0 1043.4  57.1   4   4   5.8e-08   3.8e-05   21.1   0.0   528   559   774   805   750   805 0.81 | transcript=PVP01_0104600.1 | gene=PVP01_0104600 | organism=Plasmodium_vivax_P01 | gene_product=phosphoinositide-binding protein, putative | transcript_product=phosphoinositide-binding protein, putative | location=PvP01_01_v2:239525-241942(+) | protein_length=805 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 3079at5820           -            559   3.4e-09   34.4   7.3   1   4   8.9e-05     0.058   10.6   0.0   382   453   122   194   110   211 0.88 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 3079at5820           -            559   3.4e-09   34.4   7.3   2   4    0.0099       6.4    3.8   0.8   391   470   380   458   348   478 0.76 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 3079at5820           -            559   3.4e-09   34.4   7.3   3   4     4e-06    0.0026   15.0   0.0   394   453   508   567   491   603 0.86 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 3079at5820           -            559   3.4e-09   34.4   7.3   4   4     0.002       1.3    6.1   0.0   418   451   626   659   617   660 0.90 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 3079at5820           -            559   7.4e-06   23.4   7.4   1   4      0.53   3.4e+02   -1.9   0.2   409   457   175   223   173   256 0.79 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 3079at5820           -            559   7.4e-06   23.4   7.4   2   4    0.0003       0.2    8.8   0.0   398   453   297   353   283   357 0.83 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 3079at5820           -            559   7.4e-06   23.4   7.4   3   4   1.2e-07   7.6e-05   20.1   0.0   384   451   325   393   322   402 0.85 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
