#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1214900.1-p1   -            819 4282at5820           -            551  2.4e-277  919.7  39.2   1   4   2.6e-23   1.3e-20   72.2   0.0     6    54    58   106    52   111 0.94 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 4282at5820           -            551  2.4e-277  919.7  39.2   2   4  2.5e-139  1.3e-136  455.2  15.7    53   314   160   446   154   450 0.91 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 4282at5820           -            551  2.4e-277  919.7  39.2   3   4   2.6e-60   1.3e-57  194.4   1.5   310   421   480   594   479   600 0.96 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 4282at5820           -            551  2.4e-277  919.7  39.2   4   4   8.5e-65   4.3e-62  209.2   4.5   420   551   679   812   669   812 0.97 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 4282at5820           -            551   1.3e-46  158.1  55.4   1   5   6.4e-17   3.2e-14   51.1   3.4   314   419   382   488   325   499 0.90 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 4282at5820           -            551   1.3e-46  158.1  55.4   2   5   1.8e-13   9.2e-11   39.7   2.6   415   521   534   646   522   668 0.78 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 4282at5820           -            551   1.3e-46  158.1  55.4   3   5      0.47   2.4e+02   -1.2   6.0    39   202   843  1000   809  1016 0.65 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 4282at5820           -            551   1.3e-46  158.1  55.4   4   5   5.2e-10   2.6e-07   28.3   0.2   307   375  1156  1224  1143  1235 0.92 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010900.1-p1   -           1464 4282at5820           -            551   1.3e-46  158.1  55.4   5   5   9.6e-24   4.8e-21   73.7   0.2   367   530  1271  1433  1262  1453 0.82 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 4282at5820           -            551   2.2e-41  140.8  30.1   1   3   7.6e-23   3.8e-20   70.7  15.2    11   312   217   533   209   577 0.77 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 4282at5820           -            551   2.2e-41  140.8  30.1   2   3   1.5e-15   7.8e-13   46.6   2.0   328   423   612   707   603   786 0.75 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 4282at5820           -            551   2.2e-41  140.8  30.1   3   3     4e-11     2e-08   32.0   0.3   450   532   810   893   774   906 0.82 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259100.1-p1   -           1564 4282at5820           -            551   1.6e-33  114.8  18.7   1   1   1.3e-35   6.6e-33  112.8  18.7   118   540   473   914   365   925 0.75 | transcript=PVP01_1259100.1 | gene=PVP01_1259100 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 2, putative, multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=PvP01_12_v2:2441482-2446176(+) | protein_length=1564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202700.1-p1   -            998 4282at5820           -            551   2.1e-33  114.5  11.6   1   2       8.6   4.3e+03   -5.4  33.2     9   331   324   683   317   689 0.58 | transcript=PVP01_1202700.1 | gene=PVP01_1202700 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=PvP01_12_v2:113144-116140(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202700.1-p1   -            998 4282at5820           -            551   2.1e-33  114.5  11.6   2   2   4.2e-36   2.1e-33  114.5  11.6   325   538   767   977   763   990 0.86 | transcript=PVP01_1202700.1 | gene=PVP01_1202700 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=PvP01_12_v2:113144-116140(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 4282at5820           -            551   5.3e-26   90.0   8.4   1   3      0.17        85    0.2   0.3   482   520   187   225   178   247 0.84 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 4282at5820           -            551   5.3e-26   90.0   8.4   2   3       3.9     2e+03   -4.3  22.0    20   232   211   420   194   488 0.64 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
