#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0517200.1-p1   -            521 6024at5820           -            405  4.8e-206  683.4  36.0   1   4    8e-143  1.3e-139  464.6  15.0     1   234     1   235     1   244 0.95 | transcript=PVP01_0517200.1 | gene=PVP01_0517200 | organism=Plasmodium_vivax_P01 | gene_product=C3H1-type zinc finger protein CZIF2, putative | transcript_product=C3H1-type zinc finger protein CZIF2, putative | location=PvP01_05_v2:721598-723305(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0517200.1-p1   -            521 6024at5820           -            405  4.8e-206  683.4  36.0   2   4   5.8e-27   9.5e-24   83.0   6.9   205   288   239   340   223   349 0.77 | transcript=PVP01_0517200.1 | gene=PVP01_0517200 | organism=Plasmodium_vivax_P01 | gene_product=C3H1-type zinc finger protein CZIF2, putative | transcript_product=C3H1-type zinc finger protein CZIF2, putative | location=PvP01_05_v2:721598-723305(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0517200.1-p1   -            521 6024at5820           -            405  4.8e-206  683.4  36.0   3   4   4.9e-14     8e-11   40.5   0.2   292   337   374   419   355   428 0.85 | transcript=PVP01_0517200.1 | gene=PVP01_0517200 | organism=Plasmodium_vivax_P01 | gene_product=C3H1-type zinc finger protein CZIF2, putative | transcript_product=C3H1-type zinc finger protein CZIF2, putative | location=PvP01_05_v2:721598-723305(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0517200.1-p1   -            521 6024at5820           -            405  4.8e-206  683.4  36.0   4   4   1.5e-33   2.4e-30  104.7   0.1   332   405   448   521   439   521 0.93 | transcript=PVP01_0517200.1 | gene=PVP01_0517200 | organism=Plasmodium_vivax_P01 | gene_product=C3H1-type zinc finger protein CZIF2, putative | transcript_product=C3H1-type zinc finger protein CZIF2, putative | location=PvP01_05_v2:721598-723305(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238400.1-p1   -            743 6024at5820           -            405   1.7e-59  200.7  12.8   1   2   9.3e-31   1.5e-27   95.5   1.1     1    67     1    67     1    76 0.93 | transcript=PVP01_1238400.1 | gene=PVP01_1238400 | organism=Plasmodium_vivax_P01 | gene_product=C3H1-type zinc finger protein CZIF1, putative | transcript_product=C3H1-type zinc finger protein CZIF1, putative | location=PvP01_12_v2:1519969-1522200(-) | protein_length=743 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238400.1-p1   -            743 6024at5820           -            405   1.7e-59  200.7  12.8   2   2   4.5e-35   7.3e-32  109.7   4.5   113   280    78   241    72   276 0.70 | transcript=PVP01_1238400.1 | gene=PVP01_1238400 | organism=Plasmodium_vivax_P01 | gene_product=C3H1-type zinc finger protein CZIF1, putative | transcript_product=C3H1-type zinc finger protein CZIF1, putative | location=PvP01_12_v2:1519969-1522200(-) | protein_length=743 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 6024at5820           -            405   1.8e-06   26.1   4.4   1   2   1.6e-09   2.7e-06   25.5   2.9   110   168    16    74     4    81 0.91 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 6024at5820           -            405   1.8e-06   26.1   4.4   2   2      0.19   3.2e+02   -1.0   0.0   112   131    84   103    78   112 0.85 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146900.1-p1   -           1376 6024at5820           -            405   1.2e-05   23.4   5.0   1   3   7.3e-09   1.2e-05   23.4   5.0    98   159    29    90    15   109 0.85 | transcript=PVP01_1146900.1 | gene=PVP01_1146900 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1997596-2001726(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146900.1-p1   -           1376 6024at5820           -            405   1.2e-05   23.4   5.0   2   3       1.1   1.8e+03   -3.6   1.9   214   259   473   516   441   522 0.65 | transcript=PVP01_1146900.1 | gene=PVP01_1146900 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1997596-2001726(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146900.1-p1   -           1376 6024at5820           -            405   1.2e-05   23.4   5.0   3   3       1.9   3.1e+03   -4.3   1.0   292   316  1214  1238  1188  1270 0.50 | transcript=PVP01_1146900.1 | gene=PVP01_1146900 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:1997596-2001726(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
