#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1145500.1-p1   -            956 3954at5820           -            617    3e-274  909.8  94.6   1   6   2.6e-38   2.8e-35  120.4   0.3     1    79     1    82     1    88 0.95 | transcript=PVP01_1145500.1 | gene=PVP01_1145500 | organism=Plasmodium_vivax_P01 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=PvP01_11_v2:1945433-1948303(+) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145500.1-p1   -            956 3954at5820           -            617    3e-274  909.8  94.6   2   6   4.2e-09   4.5e-06   23.9   0.1    79   113   130   170   127   174 0.77 | transcript=PVP01_1145500.1 | gene=PVP01_1145500 | organism=Plasmodium_vivax_P01 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=PvP01_11_v2:1945433-1948303(+) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145500.1-p1   -            956 3954at5820           -            617    3e-274  909.8  94.6   3   6   3.6e-29   3.9e-26   90.2   8.5    96   205   259   388   249   393 0.82 | transcript=PVP01_1145500.1 | gene=PVP01_1145500 | organism=Plasmodium_vivax_P01 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=PvP01_11_v2:1945433-1948303(+) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145500.1-p1   -            956 3954at5820           -            617    3e-274  909.8  94.6   4   6   1.1e-69   1.1e-66  224.1  18.3   206   358   478   630   475   638 0.98 | transcript=PVP01_1145500.1 | gene=PVP01_1145500 | organism=Plasmodium_vivax_P01 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=PvP01_11_v2:1945433-1948303(+) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145500.1-p1   -            956 3954at5820           -            617    3e-274  909.8  94.6   5   6   5.2e-96   5.6e-93  311.0  25.0   358   543   654   839   650   843 0.98 | transcript=PVP01_1145500.1 | gene=PVP01_1145500 | organism=Plasmodium_vivax_P01 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=PvP01_11_v2:1945433-1948303(+) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145500.1-p1   -            956 3954at5820           -            617    3e-274  909.8  94.6   6   6   5.6e-51   6.1e-48  162.2   8.2   540   617   879   956   867   956 0.93 | transcript=PVP01_1145500.1 | gene=PVP01_1145500 | organism=Plasmodium_vivax_P01 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=PvP01_11_v2:1945433-1948303(+) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122200.1-p1   -            519 3954at5820           -            617   2.3e-06   24.9   8.1   1   1   2.2e-09   2.3e-06   24.9   8.1   539   609   339   408   312   414 0.75 | transcript=PVP01_1122200.1 | gene=PVP01_1122200 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=PvP01_11_v2:983496-985055(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1304600.1-p1   -           1757 3954at5820           -            617   0.00049   17.2   6.5   1   1   1.1e-06    0.0012   15.9   6.5   557   605   424   471   415   477 0.88 | transcript=PVP01_1304600.1 | gene=PVP01_1304600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:192664-197937(+) | protein_length=1757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522300.1-p1   -            730 3954at5820           -            617    0.0012   15.9   7.4   1   1   1.9e-06    0.0021   15.1   7.4   544   607    61   122    42   129 0.79 | transcript=PVP01_0522300.1 | gene=PVP01_0522300 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC3, putative | transcript_product=PhIL1-interacting candidate PIC3, putative | location=PvP01_05_v2:897146-899338(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906200.1-p1   -            261 3954at5820           -            617     0.008   13.2   0.3   1   1   1.2e-05     0.013   12.6   0.3   556   596   124   164   117   169 0.89 | transcript=PVP01_0906200.1 | gene=PVP01_0906200 | organism=Plasmodium_vivax_P01 | gene_product=40S ribosomal protein S4, putative | transcript_product=40S ribosomal protein S4, putative | location=PvP01_09_v2:356278-357710(-) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015900.1-p1   -            271 3954at5820           -            617       1.4    5.8  17.0   1   2   6.1e-06    0.0066   13.5   2.5   556   608    35    87    15    95 0.87 | transcript=PVP01_1015900.1 | gene=PVP01_1015900 | organism=Plasmodium_vivax_P01 | gene_product=NOSIP domain-containing protein, putative | transcript_product=NOSIP domain-containing protein, putative | location=PvP01_10_v2:710938-712715(-) | protein_length=271 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
