#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1028900.1-p1   -           2445 425at5820            -           1505         0 2379.4 105.6   1  10   1.1e-79   7.5e-76  254.2   2.4     1   170     1   173     1   177 0.97 | transcript=PVP01_1028900.1 | gene=PVP01_1028900 | organism=Plasmodium_vivax_P01 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=PvP01_10_v2:1232998-1240548(-) | protein_length=2445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028900.1-p1   -           2445 425at5820            -           1505         0 2379.4 105.6   2  10   6.8e-72   4.4e-68  228.5   1.9   170   291   231   352   219   367 0.95 | transcript=PVP01_1028900.1 | gene=PVP01_1028900 | organism=Plasmodium_vivax_P01 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=PvP01_10_v2:1232998-1240548(-) | protein_length=2445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028900.1-p1   -           2445 425at5820            -           1505         0 2379.4 105.6   3  10   2.5e-81   1.6e-77  259.7   2.3   291   451   484   652   477   675 0.93 | transcript=PVP01_1028900.1 | gene=PVP01_1028900 | organism=Plasmodium_vivax_P01 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=PvP01_10_v2:1232998-1240548(-) | protein_length=2445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028900.1-p1   -           2445 425at5820            -           1505         0 2379.4 105.6   4  10   5.8e-92   3.8e-88  295.0   9.4   446   615   760   937   723   948 0.87 | transcript=PVP01_1028900.1 | gene=PVP01_1028900 | organism=Plasmodium_vivax_P01 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=PvP01_10_v2:1232998-1240548(-) | protein_length=2445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028900.1-p1   -           2445 425at5820            -           1505         0 2379.4 105.6   5  10   5.4e-88   3.5e-84  281.8  11.2   608   736  1076  1204  1071  1217 0.97 | transcript=PVP01_1028900.1 | gene=PVP01_1028900 | organism=Plasmodium_vivax_P01 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=PvP01_10_v2:1232998-1240548(-) | protein_length=2445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028900.1-p1   -           2445 425at5820            -           1505         0 2379.4 105.6   6  10   1.5e-53     1e-49  167.6   0.6   735   855  1286  1409  1283  1415 0.95 | transcript=PVP01_1028900.1 | gene=PVP01_1028900 | organism=Plasmodium_vivax_P01 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=PvP01_10_v2:1232998-1240548(-) | protein_length=2445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028900.1-p1   -           2445 425at5820            -           1505         0 2379.4 105.6   7  10  4.8e-242  3.1e-238  792.4  16.9   850  1380  1456  2081  1447  2096 0.87 | transcript=PVP01_1028900.1 | gene=PVP01_1028900 | organism=Plasmodium_vivax_P01 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=PvP01_10_v2:1232998-1240548(-) | protein_length=2445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028900.1-p1   -           2445 425at5820            -           1505         0 2379.4 105.6   8  10   6.7e-08   0.00044   16.4   0.0  1353  1416  2179  2250  2151  2256 0.76 | transcript=PVP01_1028900.1 | gene=PVP01_1028900 | organism=Plasmodium_vivax_P01 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=PvP01_10_v2:1232998-1240548(-) | protein_length=2445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028900.1-p1   -           2445 425at5820            -           1505         0 2379.4 105.6   9  10   8.6e-05      0.56    6.1   0.2  1370  1436  2278  2346  2271  2355 0.74 | transcript=PVP01_1028900.1 | gene=PVP01_1028900 | organism=Plasmodium_vivax_P01 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=PvP01_10_v2:1232998-1240548(-) | protein_length=2445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028900.1-p1   -           2445 425at5820            -           1505         0 2379.4 105.6  10  10   3.2e-38   2.1e-34  116.9   3.2  1434  1505  2374  2445  2365  2445 0.95 | transcript=PVP01_1028900.1 | gene=PVP01_1028900 | organism=Plasmodium_vivax_P01 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=PvP01_10_v2:1232998-1240548(-) | protein_length=2445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
