#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0703600.1-p1   -           1119 3149at5820           -            567    2e-246  817.7  55.3   1   5   4.3e-67   2.8e-64  216.3   2.1     1   119     1   134     1   201 0.86 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 3149at5820           -            567    2e-246  817.7  55.3   2   5     0.038        25    1.9   0.0   160   193   525   558   514   563 0.81 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 3149at5820           -            567    2e-246  817.7  55.3   3   5   4.2e-95   2.7e-92  308.8  26.9   183   393   581   845   570   849 0.81 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 3149at5820           -            567    2e-246  817.7  55.3   4   5     0.038        25    1.9   0.1   387   415   898   926   891   939 0.79 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 3149at5820           -            567    2e-246  817.7  55.3   5   5   8.2e-90   5.3e-87  291.3   7.2   403   567   943  1119   921  1119 0.93 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 3149at5820           -            567   5.8e-15   53.5   7.1   1   3   0.00059      0.38    7.9   0.0    38    66     7    35     1    40 0.62 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 3149at5820           -            567   5.8e-15   53.5   7.1   2   3   1.3e-07   8.2e-05   20.0   1.1   230   373    34   163    30   171 0.81 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458700.1-p1   -            259 3149at5820           -            567   5.8e-15   53.5   7.1   3   3   9.4e-10   6.2e-07   27.0   0.3   464   538   167   236   157   252 0.80 | transcript=PVP01_1458700.1 | gene=PVP01_1458700 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=PvP01_14_v2:2569140-2570912(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 3149at5820           -            567   4.2e-13   47.4   0.2   1   3   0.00072      0.47    7.6   0.0    25    66    13    55     7    61 0.77 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 3149at5820           -            567   4.2e-13   47.4   0.2   2   3   3.5e-11   2.3e-08   31.7   0.1   240   326    93   176    85   215 0.77 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 3149at5820           -            567   4.2e-13   47.4   0.2   3   3    0.0077         5    4.2   0.1   489   542   256   314   242   331 0.77 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
