#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1432700.1-p1   -           1037 3950at5820           -            631         0 1044.1  82.8   1   5  5.6e-125  9.1e-122  406.1  19.0     1   207     1   213     1   221 0.98 | transcript=PVP01_1432700.1 | gene=PVP01_1432700 | organism=Plasmodium_vivax_P01 | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=PvP01_14_v2:1422508-1425896(-) | protein_length=1037 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432700.1-p1   -           1037 3950at5820           -            631         0 1044.1  82.8   2   5  5.7e-128  9.2e-125  416.0  20.2   206   471   252   527   241   542 0.91 | transcript=PVP01_1432700.1 | gene=PVP01_1432700 | organism=Plasmodium_vivax_P01 | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=PvP01_14_v2:1422508-1425896(-) | protein_length=1037 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432700.1-p1   -           1037 3950at5820           -            631         0 1044.1  82.8   3   5   7.1e-07    0.0012   15.9   0.1   426   452   776   802   770   806 0.88 | transcript=PVP01_1432700.1 | gene=PVP01_1432700 | organism=Plasmodium_vivax_P01 | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=PvP01_14_v2:1422508-1425896(-) | protein_length=1037 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432700.1-p1   -           1037 3950at5820           -            631         0 1044.1  82.8   4   5   8.7e-05      0.14    9.0   4.4   437   469   804   840   801   846 0.76 | transcript=PVP01_1432700.1 | gene=PVP01_1432700 | organism=Plasmodium_vivax_P01 | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=PvP01_14_v2:1422508-1425896(-) | protein_length=1037 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432700.1-p1   -           1037 3950at5820           -            631         0 1044.1  82.8   5   5   1.1e-67   1.8e-64  216.8  12.8   461   631   862  1037   841  1037 0.79 | transcript=PVP01_1432700.1 | gene=PVP01_1432700 | organism=Plasmodium_vivax_P01 | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=PvP01_14_v2:1422508-1425896(-) | protein_length=1037 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228000.1-p1   -            479 3950at5820           -            631   6.6e-06   23.3  15.1   1   2       2.2   3.6e+03   -5.5  11.2   163   253   177   270    26   293 0.57 | transcript=PVP01_1228000.1 | gene=PVP01_1228000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor eIF-2B subunit gamma, putative | transcript_product=translation initiation factor eIF-2B subunit gamma, putative | location=PvP01_12_v2:1119462-1122303(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228000.1-p1   -            479 3950at5820           -            631   6.6e-06   23.3  15.1   2   2     4e-09   6.6e-06   23.3  15.1   336   410   387   460   375   471 0.79 | transcript=PVP01_1228000.1 | gene=PVP01_1228000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor eIF-2B subunit gamma, putative | transcript_product=translation initiation factor eIF-2B subunit gamma, putative | location=PvP01_12_v2:1119462-1122303(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328000.1-p1   -            452 3950at5820           -            631   0.00022   18.3  14.7   1   3     0.031        50    0.6   0.0    48   143    33   123    13   134 0.80 | transcript=PVP01_1328000.1 | gene=PVP01_1328000 | organism=Plasmodium_vivax_P01 | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=PvP01_13_v2:1190938-1192670(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328000.1-p1   -            452 3950at5820           -            631   0.00022   18.3  14.7   2   3   7.6e-07    0.0012   15.8   6.3   323   413   327   423   307   431 0.59 | transcript=PVP01_1328000.1 | gene=PVP01_1328000 | organism=Plasmodium_vivax_P01 | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=PvP01_13_v2:1190938-1192670(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328000.1-p1   -            452 3950at5820           -            631   0.00022   18.3  14.7   3   3     9e-07    0.0015   15.6   1.2   326   396   370   441   365   451 0.84 | transcript=PVP01_1328000.1 | gene=PVP01_1328000 | organism=Plasmodium_vivax_P01 | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=PvP01_13_v2:1190938-1192670(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319200.1-p1   -            255 3950at5820           -            631   0.00039   17.5   1.6   1   1   2.8e-07   0.00046   17.3   1.6   344   396   162   216   155   252 0.72 | transcript=PVP01_0319200.1 | gene=PVP01_0319200 | organism=Plasmodium_vivax_P01 | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=PvP01_03_v2:797457-798224(-) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3950at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3950at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3950at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:22 2026
# [ok]
