#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1115600.1-p1   -            202 12569at5820          -            174  1.6e-108  358.9   1.8   1   1  4.1e-111  1.8e-108  358.7   1.8     1   174    17   202    17   202 0.97 | transcript=PVP01_1115600.1 | gene=PVP01_1115600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_11_v2:668834-670589(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1303100.1-p1   -            147 12569at5820          -            174   4.5e-38  129.5   0.5   1   1   1.2e-40     5e-38  129.3   0.5    15   133    25   146     3   147 0.88 | transcript=PVP01_1303100.1 | gene=PVP01_1303100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:139095-140725(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006700.1-p1   -            152 12569at5820          -            174   1.8e-37  127.5   0.0   1   1   4.9e-40   2.1e-37  127.3   0.0    23   134    34   148    19   152 0.87 | transcript=PVP01_1006700.1 | gene=PVP01_1006700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2 13, putative | transcript_product=ubiquitin-conjugating enzyme E2 13, putative | location=PvP01_10_v2:295548-296628(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427600.1-p1   -            164 12569at5820          -            174   1.6e-28   98.3   0.1   1   1   4.9e-31   2.1e-28   98.0   0.1    20   123    33   136    26   150 0.93 | transcript=PVP01_1427600.1 | gene=PVP01_1427600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_14_v2:1176660-1177459(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142700.1-p1   -            152 12569at5820          -            174   5.1e-25   87.0   0.1   1   1   1.3e-27   5.7e-25   86.8   0.1    15   133    25   148    12   152 0.86 | transcript=PVP01_1142700.1 | gene=PVP01_1142700 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=PvP01_11_v2:1812408-1813708(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820900.1-p1   -            160 12569at5820          -            174   5.9e-25   86.8   0.1   1   1   1.6e-27   6.9e-25   86.5   0.1    18   120    31   133    12   146 0.88 | transcript=PVP01_0820900.1 | gene=PVP01_0820900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_08_v2:917934-918552(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713500.1-p1   -            159 12569at5820          -            174   3.7e-21   74.4   0.1   1   1   1.1e-23   4.7e-21   74.0   0.1    21   119    39   139    34   157 0.90 | transcript=PVP01_0713500.1 | gene=PVP01_0713500 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=PvP01_07_v2:630597-631487(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619000.1-p1   -            191 12569at5820          -            174   1.4e-19   69.3   0.0   1   1   4.9e-22   2.1e-19   68.7   0.0    23   135    34   151    23   168 0.79 | transcript=PVP01_0619000.1 | gene=PVP01_0619000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_06_v2:779067-780509(-) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462400.1-p1   -            150 12569at5820          -            174   6.6e-16   57.3   0.0   1   1   1.8e-18   7.6e-16   57.1   0.0    41   123    60   141    21   149 0.83 | transcript=PVP01_1462400.1 | gene=PVP01_1462400 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=PvP01_14_v2:2690430-2691637(+) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719400.1-p1   -            163 12569at5820          -            174   5.3e-14   51.1   0.7   1   1   5.7e-16   2.5e-13   48.9   0.7    16   120    29   148    25   159 0.81 | transcript=PVP01_0719400.1 | gene=PVP01_0719400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_07_v2:850305-851664(-) | protein_length=163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336000.1-p1   -            301 12569at5820          -            174   1.6e-10   39.8   0.2   1   1   7.2e-13   3.1e-10   38.8   0.2    16   103   180   268   167   279 0.85 | transcript=PVP01_1336000.1 | gene=PVP01_1336000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:1553686-1555862(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
