#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1242600.1-p1   -            350 10858at5820          -            253  1.4e-122  406.7  60.6   1   3   7.3e-09   9.5e-06   23.9   5.9     1    38     1    41     1    51 0.70 | transcript=PVP01_1242600.1 | gene=PVP01_1242600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger CCCH domain-containing protein, putative | transcript_product=zinc finger CCCH domain-containing protein, putative | location=PvP01_12_v2:1741803-1743232(+) | protein_length=350 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1242600.1-p1   -            350 10858at5820          -            253  1.4e-122  406.7  60.6   2   3  1.7e-107  2.3e-104  347.0  36.4    24   250    50   290    41   293 0.87 | transcript=PVP01_1242600.1 | gene=PVP01_1242600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger CCCH domain-containing protein, putative | transcript_product=zinc finger CCCH domain-containing protein, putative | location=PvP01_12_v2:1741803-1743232(+) | protein_length=350 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1242600.1-p1   -            350 10858at5820          -            253  1.4e-122  406.7  60.6   3   3   3.5e-16   4.5e-13   47.8   3.7   211   252   308   349   298   350 0.87 | transcript=PVP01_1242600.1 | gene=PVP01_1242600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger CCCH domain-containing protein, putative | transcript_product=zinc finger CCCH domain-containing protein, putative | location=PvP01_12_v2:1741803-1743232(+) | protein_length=350 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 10858at5820          -            253   4.6e-08   31.4  12.5   1   2   1.8e-08   2.4e-05   22.5   5.3    33    96   480   547   469   553 0.82 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 10858at5820          -            253   4.6e-08   31.4  12.5   2   2   2.1e-05     0.027   12.5   0.6    40    90   556   610   549   618 0.81 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 10858at5820          -            253     6e-07   27.8  11.1   1   2   5.2e-09   6.8e-06   24.3   5.7    44    98     8    66     2    70 0.83 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 10858at5820          -            253     6e-07   27.8  11.1   2   2    0.0014       1.8    6.5   0.2    43    73    73   102    65   117 0.80 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 10858at5820          -            253   0.00012   20.2   8.5   1   3   9.3e-08   0.00012   20.2   8.5    24    98     5    84     1    93 0.77 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 10858at5820          -            253   0.00012   20.2   8.5   2   3   3.8e-05     0.049   11.7   1.5    45    72    97   124    83   134 0.81 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 10858at5820          -            253   0.00012   20.2   8.5   3   3      0.56   7.3e+02   -2.0   1.8   212   244   323   358   316   361 0.62 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 10858at5820          -            253    0.0014   16.8   5.9   1   2   2.5e-06    0.0033   15.5   1.3    44    97     4    62     2    66 0.79 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 10858at5820          -            253    0.0014   16.8   5.9   2   2     0.021        27    2.7   0.2    46    70    74    98    63   108 0.83 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10858at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
