#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0506800.1-p1   -           1665 2206at5820           -            834         0 1240.6 103.2   1   9  6.4e-102   2.1e-98  329.2  14.2     4   182   148   326   146   335 0.98 | transcript=PVP01_0506800.1 | gene=PVP01_0506800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:301802-307000(+) | protein_length=1665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506800.1-p1   -           1665 2206at5820           -            834         0 1240.6 103.2   2   9  2.1e-141    7e-138  459.8  19.7   177   438   376   648   367   655 0.95 | transcript=PVP01_0506800.1 | gene=PVP01_0506800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:301802-307000(+) | protein_length=1665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506800.1-p1   -           1665 2206at5820           -            834         0 1240.6 103.2   3   9   3.2e-09   1.1e-05   22.5   0.6   421   467   725   770   675   775 0.81 | transcript=PVP01_0506800.1 | gene=PVP01_0506800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:301802-307000(+) | protein_length=1665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506800.1-p1   -           1665 2206at5820           -            834         0 1240.6 103.2   4   9       0.3   9.9e+02   -3.9   0.8   199   225   892   918   888   920 0.77 | transcript=PVP01_0506800.1 | gene=PVP01_0506800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:301802-307000(+) | protein_length=1665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506800.1-p1   -           1665 2206at5820           -            834         0 1240.6 103.2   5   9   4.8e-50   1.6e-46  157.6   2.4   466   573   957  1069   949  1071 0.93 | transcript=PVP01_0506800.1 | gene=PVP01_0506800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:301802-307000(+) | protein_length=1665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506800.1-p1   -           1665 2206at5820           -            834         0 1240.6 103.2   6   9     0.011        37    0.8   0.0   573   588  1137  1152  1125  1166 0.86 | transcript=PVP01_0506800.1 | gene=PVP01_0506800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:301802-307000(+) | protein_length=1665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506800.1-p1   -           1665 2206at5820           -            834         0 1240.6 103.2   7   9   1.5e-12     5e-09   33.5   0.3   585   620  1251  1286  1247  1291 0.94 | transcript=PVP01_0506800.1 | gene=PVP01_0506800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:301802-307000(+) | protein_length=1665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506800.1-p1   -           1665 2206at5820           -            834         0 1240.6 103.2   8   9   5.7e-40   1.9e-36  124.2  14.3   623   748  1363  1514  1310  1522 0.79 | transcript=PVP01_0506800.1 | gene=PVP01_0506800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:301802-307000(+) | protein_length=1665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506800.1-p1   -           1665 2206at5820           -            834         0 1240.6 103.2   9   9   3.9e-46   1.3e-42  144.6   0.6   734   834  1564  1665  1557  1665 0.95 | transcript=PVP01_0506800.1 | gene=PVP01_0506800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:301802-307000(+) | protein_length=1665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207000.1-p1   -            226 2206at5820           -            834   0.00064   16.6   4.3   1   1   2.4e-07   0.00079   16.3   4.3    84   174    69   165    54   174 0.74 | transcript=PVP01_0207000.1 | gene=PVP01_0207000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:290183-290863(+) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2206at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2206at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2206at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:30 2026
# [ok]
