#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1414500.1-p1   -           2057 659at5820            -           1239         0 2046.0 104.9   1  10   1.6e-06     0.011   11.9   0.2     1    32   113   144   113   177 0.85 | transcript=PVP01_1414500.1 | gene=PVP01_1414500 | organism=Plasmodium_vivax_P01 | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=PvP01_14_v2:642034-648207(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414500.1-p1   -           2057 659at5820            -           1239         0 2046.0 104.9   2  10    0.0005       3.2    3.7   0.0    27    51   238   262   214   266 0.90 | transcript=PVP01_1414500.1 | gene=PVP01_1414500 | organism=Plasmodium_vivax_P01 | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=PvP01_14_v2:642034-648207(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414500.1-p1   -           2057 659at5820            -           1239         0 2046.0 104.9   3  10  5.9e-145  3.8e-141  470.5   4.3    51   281   333   571   325   579 0.94 | transcript=PVP01_1414500.1 | gene=PVP01_1414500 | organism=Plasmodium_vivax_P01 | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=PvP01_14_v2:642034-648207(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414500.1-p1   -           2057 659at5820            -           1239         0 2046.0 104.9   4  10  1.2e-109  7.7e-106  353.6   8.2   282   491   607   831   599   839 0.92 | transcript=PVP01_1414500.1 | gene=PVP01_1414500 | organism=Plasmodium_vivax_P01 | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=PvP01_14_v2:642034-648207(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414500.1-p1   -           2057 659at5820            -           1239         0 2046.0 104.9   5  10   2.1e-67   1.4e-63  213.6   2.6   490   615   882  1011   876  1046 0.91 | transcript=PVP01_1414500.1 | gene=PVP01_1414500 | organism=Plasmodium_vivax_P01 | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=PvP01_14_v2:642034-648207(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414500.1-p1   -           2057 659at5820            -           1239         0 2046.0 104.9   6  10     0.076   4.9e+02   -3.5   0.0   602   629  1127  1154  1119  1155 0.80 | transcript=PVP01_1414500.1 | gene=PVP01_1414500 | organism=Plasmodium_vivax_P01 | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=PvP01_14_v2:642034-648207(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414500.1-p1   -           2057 659at5820            -           1239         0 2046.0 104.9   7  10  1.6e-127  1.1e-123  412.7  12.8   626   843  1195  1417  1165  1422 0.95 | transcript=PVP01_1414500.1 | gene=PVP01_1414500 | organism=Plasmodium_vivax_P01 | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=PvP01_14_v2:642034-648207(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414500.1-p1   -           2057 659at5820            -           1239         0 2046.0 104.9   8  10   1.1e-95   7.5e-92  307.3  19.1   837  1036  1480  1702  1473  1705 0.93 | transcript=PVP01_1414500.1 | gene=PVP01_1414500 | organism=Plasmodium_vivax_P01 | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=PvP01_14_v2:642034-648207(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414500.1-p1   -           2057 659at5820            -           1239         0 2046.0 104.9   9  10   1.2e-28     8e-25   85.2   0.2  1031  1092  1726  1787  1717  1796 0.94 | transcript=PVP01_1414500.1 | gene=PVP01_1414500 | organism=Plasmodium_vivax_P01 | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=PvP01_14_v2:642034-648207(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414500.1-p1   -           2057 659at5820            -           1239         0 2046.0 104.9  10  10   1.3e-70   8.5e-67  224.3   5.9  1090  1225  1849  1999  1835  2011 0.91 | transcript=PVP01_1414500.1 | gene=PVP01_1414500 | organism=Plasmodium_vivax_P01 | gene_product=Clu domain-containing protein, putative | transcript_product=Clu domain-containing protein, putative | location=PvP01_14_v2:642034-648207(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
