#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1003500.1-p1   -           1536 1876at5820           -           1075         0 1508.3 164.2   1   9  2.2e-124  1.4e-120  402.5  36.5     8   227    28   249    22   257 0.95 | transcript=PVP01_1003500.1 | gene=PVP01_1003500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:176943-181553(+) | protein_length=1536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003500.1-p1   -           1536 1876at5820           -           1075         0 1508.3 164.2   2   9   1.4e-09   9.4e-06   22.3   0.7   224   248   284   308   282   312 0.90 | transcript=PVP01_1003500.1 | gene=PVP01_1003500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:176943-181553(+) | protein_length=1536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003500.1-p1   -           1536 1876at5820           -           1075         0 1508.3 164.2   3   9     4e-27   2.6e-23   80.4   4.9   242   298   323   379   321   392 0.94 | transcript=PVP01_1003500.1 | gene=PVP01_1003500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:176943-181553(+) | protein_length=1536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003500.1-p1   -           1536 1876at5820           -           1075         0 1508.3 164.2   4   9   3.6e-51   2.3e-47  160.0   5.8   295   391   413   511   409   538 0.94 | transcript=PVP01_1003500.1 | gene=PVP01_1003500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:176943-181553(+) | protein_length=1536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003500.1-p1   -           1536 1876at5820           -           1075         0 1508.3 164.2   5   9   1.1e-64   7.4e-61  204.7  12.7   390   552   601   792   598   797 0.89 | transcript=PVP01_1003500.1 | gene=PVP01_1003500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:176943-181553(+) | protein_length=1536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003500.1-p1   -           1536 1876at5820           -           1075         0 1508.3 164.2   6   9   4.1e-69   2.7e-65  219.5  15.3   555   694   828   971   814   974 0.91 | transcript=PVP01_1003500.1 | gene=PVP01_1003500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:176943-181553(+) | protein_length=1536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003500.1-p1   -           1536 1876at5820           -           1075         0 1508.3 164.2   7   9   0.00041       2.7    4.2   0.0   695   713  1003  1021   996  1027 0.89 | transcript=PVP01_1003500.1 | gene=PVP01_1003500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:176943-181553(+) | protein_length=1536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003500.1-p1   -           1536 1876at5820           -           1075         0 1508.3 164.2   8   9   1.6e-83     1e-79  267.2  16.3   712   933  1065  1312  1046  1345 0.90 | transcript=PVP01_1003500.1 | gene=PVP01_1003500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:176943-181553(+) | protein_length=1536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003500.1-p1   -           1536 1876at5820           -           1075         0 1508.3 164.2   9   9   1.1e-59   6.9e-56  188.3  16.9   944  1075  1378  1530  1370  1530 0.89 | transcript=PVP01_1003500.1 | gene=PVP01_1003500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:176943-181553(+) | protein_length=1536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1876at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1876at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1876at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:07 2026
# [ok]
