#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1125800.1-p1   -            925 3285at5820           -            554    8e-281  930.8  38.5   1   5   4.9e-30   5.3e-27   93.0   0.5     1    76    68   146    68   149 0.93 | transcript=PVP01_1125800.1 | gene=PVP01_1125800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=PvP01_11_v2:1129691-1132468(+) | protein_length=925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125800.1-p1   -            925 3285at5820           -            554    8e-281  930.8  38.5   2   5  4.2e-140  4.6e-137  456.3   9.0    73   312   164   419   154   423 0.94 | transcript=PVP01_1125800.1 | gene=PVP01_1125800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=PvP01_11_v2:1129691-1132468(+) | protein_length=925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125800.1-p1   -            925 3285at5820           -            554    8e-281  930.8  38.5   3   5   3.7e-39   4.1e-36  123.1   0.0   311   392   443   532   439   540 0.93 | transcript=PVP01_1125800.1 | gene=PVP01_1125800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=PvP01_11_v2:1129691-1132468(+) | protein_length=925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125800.1-p1   -            925 3285at5820           -            554    8e-281  930.8  38.5   4   5   1.8e-61   1.9e-58  196.7   7.1   388   503   624   739   621   744 0.98 | transcript=PVP01_1125800.1 | gene=PVP01_1125800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=PvP01_11_v2:1129691-1132468(+) | protein_length=925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125800.1-p1   -            925 3285at5820           -            554    8e-281  930.8  38.5   5   5   4.5e-25   4.9e-22   76.6   0.2   504   554   848   898   844   898 0.97 | transcript=PVP01_1125800.1 | gene=PVP01_1125800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase SUV3, putative | transcript_product=ATP-dependent RNA helicase SUV3, putative | location=PvP01_11_v2:1129691-1132468(+) | protein_length=925 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 3285at5820           -            554   6.3e-16   56.4   8.7   1   2   1.2e-09   1.3e-06   25.7   0.6   112   216   335   453   319   470 0.73 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708400.1-p1   -           1392 3285at5820           -            554   6.3e-16   56.4   8.7   2   2   4.4e-12   4.8e-09   33.7   2.1   287   399   690   809   663   877 0.76 | transcript=PVP01_0708400.1 | gene=PVP01_0708400 | organism=Plasmodium_vivax_P01 | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=PvP01_07_v2:427704-431882(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 3285at5820           -            554     8e-11   39.6  12.5   1   3   1.3e-05     0.015   12.3   0.0   120   223   278   397   263   413 0.73 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 3285at5820           -            554     8e-11   39.6  12.5   2   3   1.8e-12     2e-09   35.0   0.1   295   365   577   647   567   660 0.89 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146800.1-p1   -           1384 3285at5820           -            554     8e-11   39.6  12.5   3   3         6   6.5e+03   -6.4   5.8   358   453  1024  1124  1020  1136 0.73 | transcript=PVP01_1146800.1 | gene=PVP01_1146800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=PvP01_11_v2:1986553-1990890(-) | protein_length=1384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015400.1-p1   -           1015 3285at5820           -            554    0.0016   15.5   0.1   1   1   2.2e-06    0.0024   14.9   0.1   270   339   865   935   840   966 0.79 | transcript=PVP01_1015400.1 | gene=PVP01_1015400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=PvP01_10_v2:696329-699376(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
