#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0714500.1-p1   -            179 12730at5820          -            150   9.5e-74  244.9   8.8   1   2   9.7e-23   9.1e-20   69.7   2.3     1    46     1    49     1    53 0.83 | transcript=PVP01_0714500.1 | gene=PVP01_0714500 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=PvP01_07_v2:663476-664676(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714500.1-p1   -            179 12730at5820          -            150   9.5e-74  244.9   8.8   2   2     6e-57   5.6e-54  180.7   0.7    32   150    48   175    45   175 0.94 | transcript=PVP01_0714500.1 | gene=PVP01_0714500 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=PvP01_07_v2:663476-664676(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249700.1-p1   -            104 12730at5820          -            150   1.7e-11   42.8   0.3   1   1   2.2e-14     2e-11   42.6   0.3    61   149    16   103     8   104 0.79 | transcript=PVP01_1249700.1 | gene=PVP01_1249700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=PvP01_12_v2:2029499-2029947(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724000.1-p1   -            133 12730at5820          -            150     9e-08   30.7   0.0   1   1   1.1e-10   1.1e-07   30.5   0.0    59   144    37   121    10   126 0.70 | transcript=PVP01_0724000.1 | gene=PVP01_0724000 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=PvP01_07_v2:1027022-1028145(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209700.1-p1   -            157 12730at5820          -            150   3.8e-05   22.2   0.3   1   1   5.5e-08   5.1e-05   21.8   0.3    33   140    43   148    35   156 0.68 | transcript=PVP01_1209700.1 | gene=PVP01_1209700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=PvP01_12_v2:398246-399338(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202300.1-p1   -            209 12730at5820          -            150   5.7e-05   21.6   0.5   1   2   6.2e-08   5.7e-05   21.6   0.5    46   120    27   106     7   117 0.79 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202300.1-p1   -            209 12730at5820          -            150   5.7e-05   21.6   0.5   2   2       3.6   3.4e+03   -3.6   0.4    22    30   180   188   171   200 0.44 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 12730at5820          -            150    0.0033   15.9   1.8   1   3     7e-05     0.065   11.7   0.0    60   121    44   112    22   118 0.76 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 12730at5820          -            150    0.0033   15.9   1.8   2   3       2.7   2.5e+03   -3.2   0.2    99   132   144   176   138   196 0.50 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506500.1-p1   -            482 12730at5820          -            150    0.0033   15.9   1.8   3   3     0.039        36    2.8   0.0    63    86   371   394   347   434 0.77 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0120500.1-p1   -            362 12730at5820          -            150     0.095   11.2   4.6   1   2      0.11     1e+02    1.4   0.1    26    54    50    78    47    89 0.89 | transcript=PVP01_0120500.1 | gene=PVP01_0120500 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein, VIR protein | transcript_product=VIR protein | location=PvP01_01_v2:939459-940803(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
