#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0727300.1-p1   -            601 9615at5820           -            352  3.8e-158  524.8   8.7   1   3   4.2e-05    0.0083   13.9   0.0    14    36   107   129    98   148 0.86 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 9615at5820           -            352  3.8e-158  524.8   8.7   2   3   1.7e-46   3.3e-44  150.1   0.6    33   154   181   314   177   320 0.89 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727300.1-p1   -            601 9615at5820           -            352  3.8e-158  524.8   8.7   3   3  2.2e-111  4.4e-109  363.5   1.8   150   352   367   577   356   577 0.95 | transcript=PVP01_0727300.1 | gene=PVP01_0727300 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_07_v2:1160934-1162739(+) | protein_length=601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 9615at5820           -            352   1.2e-13   49.5   9.1   1   2   1.1e-07   2.2e-05   22.4   5.8   102   204   109   204    66   216 0.69 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 9615at5820           -            352   1.2e-13   49.5   9.1   2   2   2.5e-09   4.9e-07   27.8   0.1   272   348   248   326   206   329 0.73 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252700.1-p1   -            861 9615at5820           -            352   5.6e-12   44.1  13.0   1   2   0.00015      0.03   12.1   7.4    98   201   517   613   453   618 0.79 | transcript=PVP01_1252700.1 | gene=PVP01_1252700 | organism=Plasmodium_vivax_P01 | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=PvP01_12_v2:2152503-2155088(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252700.1-p1   -            861 9615at5820           -            352   5.6e-12   44.1  13.0   2   2   1.5e-11     3e-09   35.1   0.2   235   348   618   733   612   736 0.86 | transcript=PVP01_1252700.1 | gene=PVP01_1252700 | organism=Plasmodium_vivax_P01 | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=PvP01_12_v2:2152503-2155088(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 9615at5820           -            352   6.7e-12   43.8  21.5   1   2   2.9e-05    0.0057   14.4  17.7    78   219    43   173     8   185 0.74 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 9615at5820           -            352   6.7e-12   43.8  21.5   2   2   2.8e-11   5.6e-09   34.2   0.5   234   349   161   279   158   280 0.77 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 9615at5820           -            352   3.1e-11   41.6   5.8   1   2     2e-06   0.00039   18.3   3.9   111   209   119   210   110   217 0.71 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 9615at5820           -            352   3.1e-11   41.6   5.8   2   2   1.4e-08   2.7e-06   25.4   0.2   231   348   207   328   203   331 0.74 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
