#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1434300.1-p1   -             68 15483at5820          -             56   8.4e-34  113.7   6.1   1   1   6.6e-37   1.1e-33  113.4   6.1     1    56     7    67     7    67 0.95 | transcript=PVP01_1434300.1 | gene=PVP01_1434300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:1464206-1465298(-) | protein_length=68 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424200.1-p1   -             98 15483at5820          -             56    0.0017   16.7   1.9   1   2     0.035        57    2.2   0.4    34    42    19    27     5    47 0.73 | transcript=PVP01_1424200.1 | gene=PVP01_1424200 | organism=Plasmodium_vivax_P01 | gene_product=C-Myc-binding protein, putative | transcript_product=C-Myc-binding protein, putative | location=PvP01_14_v2:1051336-1051813(-) | protein_length=98 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424200.1-p1   -             98 15483at5820          -             56    0.0017   16.7   1.9   2   2     1e-05     0.017   13.5   0.0     8    38    58    89    53    94 0.87 | transcript=PVP01_1424200.1 | gene=PVP01_1424200 | organism=Plasmodium_vivax_P01 | gene_product=C-Myc-binding protein, putative | transcript_product=C-Myc-binding protein, putative | location=PvP01_14_v2:1051336-1051813(-) | protein_length=98 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340100.1-p1   -            340 15483at5820          -             56       0.6    8.5   6.3   1   5       0.4   6.6e+02   -1.2   0.0    22    34   130   142   121   146 0.83 | transcript=PVP01_1340100.1 | gene=PVP01_1340100 | organism=Plasmodium_vivax_P01 | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=PvP01_13_v2:1746355-1747377(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340100.1-p1   -            340 15483at5820          -             56       0.6    8.5   6.3   2   5       1.7   2.7e+03   -3.2   0.0    12    26   170   184   164   188 0.73 | transcript=PVP01_1340100.1 | gene=PVP01_1340100 | organism=Plasmodium_vivax_P01 | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=PvP01_13_v2:1746355-1747377(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340100.1-p1   -            340 15483at5820          -             56       0.6    8.5   6.3   3   5      0.15   2.4e+02    0.2   0.1    35    55   249   269   245   270 0.84 | transcript=PVP01_1340100.1 | gene=PVP01_1340100 | organism=Plasmodium_vivax_P01 | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=PvP01_13_v2:1746355-1747377(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340100.1-p1   -            340 15483at5820          -             56       0.6    8.5   6.3   4   5      0.83   1.4e+03   -2.2   0.0    17    25   273   281   272   283 0.85 | transcript=PVP01_1340100.1 | gene=PVP01_1340100 | organism=Plasmodium_vivax_P01 | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=PvP01_13_v2:1746355-1747377(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340100.1-p1   -            340 15483at5820          -             56       0.6    8.5   6.3   5   5   0.00043      0.69    8.3   0.2    19    34   287   302   278   306 0.89 | transcript=PVP01_1340100.1 | gene=PVP01_1340100 | organism=Plasmodium_vivax_P01 | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=PvP01_13_v2:1746355-1747377(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915500.1-p1   -            394 15483at5820          -             56       1.9    6.9   7.7   1   2   0.00028      0.45    8.9   2.8     2    23    81   102    80   105 0.90 | transcript=PVP01_0915500.1 | gene=PVP01_0915500 | organism=Plasmodium_vivax_P01 | gene_product=glycerol-3-phosphate dehydrogenase, putative | transcript_product=glycerol-3-phosphate dehydrogenase, putative | location=PvP01_09_v2:700383-702952(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915500.1-p1   -            394 15483at5820          -             56       1.9    6.9   7.7   2   2       0.4   6.5e+02   -1.2   0.2    13    20   142   149   131   151 0.68 | transcript=PVP01_0915500.1 | gene=PVP01_0915500 | organism=Plasmodium_vivax_P01 | gene_product=glycerol-3-phosphate dehydrogenase, putative | transcript_product=glycerol-3-phosphate dehydrogenase, putative | location=PvP01_09_v2:700383-702952(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
