#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0834400.1-p1   -            890 3773at5820           -            743         0 1244.9   8.6   1   1         0         0 1244.6   8.6     1   742     1   869     1   870 0.84 | transcript=PVP01_0834400.1 | gene=PVP01_0834400 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_08_v2:1447730-1450402(-) | protein_length=890 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522100.1-p1   -            231 3773at5820           -            743   7.2e-06   23.1   0.0   1   1   1.7e-08   1.1e-05   22.5   0.0   344   446     7   107     2   114 0.73 | transcript=PVP01_0522100.1 | gene=PVP01_0522100 | organism=Plasmodium_vivax_P01 | gene_product=GTP:AMP phosphotransferase, putative | transcript_product=GTP:AMP phosphotransferase, putative | location=PvP01_05_v2:893020-893715(-) | protein_length=231 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808900.1-p1   -            242 3773at5820           -            743   1.5e-05   22.0   0.1   1   2   2.3e-08   1.5e-05   22.0   0.1   345   445    30   124    19   137 0.83 | transcript=PVP01_0808900.1 | gene=PVP01_0808900 | organism=Plasmodium_vivax_P01 | gene_product=adenylate kinase, putative | transcript_product=adenylate kinase, putative | location=PvP01_08_v2:406219-407218(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808900.1-p1   -            242 3773at5820           -            743   1.5e-05   22.0   0.1   2   2       1.1   7.3e+02   -3.4   0.3   666   705   181   220   176   225 0.59 | transcript=PVP01_0808900.1 | gene=PVP01_0808900 | organism=Plasmodium_vivax_P01 | gene_product=adenylate kinase, putative | transcript_product=adenylate kinase, putative | location=PvP01_08_v2:406219-407218(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 3773at5820           -            743    0.0047   13.8   0.6   1   2     0.011       7.2    3.2   0.1   346   370   513   537   499   568 0.85 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 3773at5820           -            743    0.0047   13.8   0.6   2   2   0.00033      0.21    8.3   0.1   337   375   824   862   818   867 0.86 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722100.1-p1   -            409 3773at5820           -            743     0.006   13.4   1.1   1   1   1.3e-05    0.0084   12.9   1.1   457   493    77   113    23   152 0.48 | transcript=PVP01_0722100.1 | gene=PVP01_0722100 | organism=Plasmodium_vivax_P01 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=PvP01_07_v2:957346-958575(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 3773at5820           -            743      0.32    7.7  27.7   1   2    0.0026       1.7    5.3   4.1   425   502    50   132     2   193 0.55 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 3773at5820           -            743      0.32    7.7  27.7   2   2   0.00027      0.18    8.6  15.8   460   517   246   313   224   352 0.49 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 3773at5820           -            743      0.44    7.2  12.4   1   1   0.00076       0.5    7.1  12.4   453   507    53   112    22   134 0.37 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0412800.1-p1   -           1620 3773at5820           -            743       0.8    6.4  12.4   1   1     0.002       1.3    5.7  12.4   437   498  1295  1359  1286  1382 0.41 | transcript=PVP01_0412800.1 | gene=PVP01_0412800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:522625-527487(-) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 3773at5820           -            743       1.6    5.4   8.0   1   3     0.014       8.9    2.9   2.8   154   188    20    58     4   127 0.79 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 3773at5820           -            743       1.6    5.4   8.0   2   3      0.27   1.7e+02   -1.3   0.1   602   624   171   193   133   201 0.64 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 3773at5820           -            743       1.6    5.4   8.0   3   3    0.0051       3.3    4.4   0.0   347   376   258   287   224   298 0.91 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
