#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0302300.1-p1   -            585 4740at5820           -            449  1.4e-262  870.0  35.8   1   2  6.5e-118    6e-115  383.5  12.2     1   215     5   225     5   285 0.93 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 4740at5820           -            449  1.4e-262  870.0  35.8   2   2  4.6e-151  4.2e-148  492.8  15.6   216   449   339   579   319   579 0.95 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4740at5820           -            449   5.3e-16   57.4  22.2   1   6    0.0013       1.2    6.7   0.0   380   414    96   130    79   135 0.79 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4740at5820           -            449   5.3e-16   57.4  22.2   2   6   5.1e-09   4.7e-06   24.6   0.4   217   288   137   209   131   216 0.74 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4740at5820           -            449   5.3e-16   57.4  22.2   3   6    0.0009      0.84    7.3   0.6   379   408   212   242   184   254 0.56 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4740at5820           -            449   5.3e-16   57.4  22.2   4   6   9.6e-07    0.0009   17.1   0.1    48    84   261   297   254   307 0.92 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4740at5820           -            449   5.3e-16   57.4  22.2   5   6   4.7e-05     0.044   11.5   0.4    48    88   320   360   310   375 0.81 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938400.1-p1   -            453 4740at5820           -            449   5.3e-16   57.4  22.2   6   6    0.0064       5.9    4.5   0.3   326   395   374   445   361   450 0.69 | transcript=PVP01_0938400.1 | gene=PVP01_0938400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1652856-1654217(-) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 4740at5820           -            449   2.6e-12   45.2  19.4   1   5   0.00044      0.41    8.3   0.2   237   271    72   106    52   113 0.67 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 4740at5820           -            449   2.6e-12   45.2  19.4   2   5   9.6e-06    0.0089   13.8   1.3   235   302   121   188   110   216 0.70 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 4740at5820           -            449   2.6e-12   45.2  19.4   3   5      0.26   2.5e+02   -0.9   0.2    64    84   207   226   190   238 0.65 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
