#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1015600.1-p1   -            241 10375at5820          -            201  6.4e-126  416.5   2.8   1   1  1.1e-128  7.3e-126  416.3   2.8     1   201    28   241    28   241 0.97 | transcript=PVP01_1015600.1 | gene=PVP01_1015600 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=PvP01_10_v2:702214-703680(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206900.1-p1   -            218 10375at5820          -            201   3.7e-18   64.7   0.2   1   1   8.5e-21   5.6e-18   64.1   0.2     9   116     7   115     3   156 0.92 | transcript=PVP01_0206900.1 | gene=PVP01_0206900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=PvP01_02_v2:287397-288625(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1226300.1-p1   -            270 10375at5820          -            201   1.3e-07   30.2   0.0   1   1   2.7e-10   1.8e-07   29.8   0.0     9   146    39   181    33   223 0.75 | transcript=PVP01_1226300.1 | gene=PVP01_1226300 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=PvP01_12_v2:1033108-1033920(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0811500.1-p1   -            273 10375at5820          -            201     6e-07   28.1   1.8   1   1   1.5e-09   9.6e-07   27.4   1.8    10   180    61   229    53   247 0.82 | transcript=PVP01_0811500.1 | gene=PVP01_0811500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=PvP01_08_v2:492259-493080(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116400.1-p1   -            256 10375at5820          -            201   4.4e-05   22.0   0.5   1   1   1.2e-07     8e-05   21.1   0.5    10   121     8   124     3   138 0.75 | transcript=PVP01_0116400.1 | gene=PVP01_0116400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=PvP01_01_v2:743975-744899(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730500.1-p1   -            282 10375at5820          -            201   0.00025   19.5   1.5   1   2   1.5e-06     0.001   17.6   0.1     8    71    26    89    19   107 0.86 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0730500.1-p1   -            282 10375at5820          -            201   0.00025   19.5   1.5   2   2      0.17   1.1e+02    1.1   0.1   117   150   192   229   142   255 0.64 | transcript=PVP01_0730500.1 | gene=PVP01_0730500 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=PvP01_07_v2:1291584-1292432(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1235900.1-p1   -            195 10375at5820          -            201   0.00054   18.4   0.8   1   1   1.1e-06    0.0007   18.1   0.8    13   151     3   150     1   164 0.70 | transcript=PVP01_1235900.1 | gene=PVP01_1235900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-2, putative | transcript_product=proteasome subunit beta type-2, putative | location=PvP01_12_v2:1432237-1433031(-) | protein_length=195 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448600.1-p1   -            207 10375at5820          -            201    0.0023   16.4   0.0   1   1   5.7e-06    0.0037   15.7   0.0    10    75    36   101    32   118 0.94 | transcript=PVP01_1448600.1 | gene=PVP01_1448600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=PvP01_14_v2:2111594-2112822(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117900.1-p1   -            246 10375at5820          -            201    0.0068   14.8   0.4   1   1   1.4e-05     0.009   14.4   0.4     8   114    28   138    23   185 0.68 | transcript=PVP01_1117900.1 | gene=PVP01_1117900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=PvP01_11_v2:758711-759594(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213100.1-p1   -            256 10375at5820          -            201     0.039   12.4   0.1   1   1   9.4e-05     0.061   11.7   0.1     8    76    31    98    26   122 0.82 | transcript=PVP01_0213100.1 | gene=PVP01_0213100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=PvP01_02_v2:548876-550047(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10375at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10375at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10375at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:49 2026
# [ok]
