#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0116800.1-p1   -           1093 2167at5820           -            898         0 1746.0 122.5   1   3         0         0 1680.2  55.6     1   824     1   874     1   876 0.93 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116800.1-p1   -           1093 2167at5820           -            898         0 1746.0 122.5   2   3   1.2e-06   0.00019   18.1  49.8   765   850   869   957   866   960 0.43 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116800.1-p1   -           1093 2167at5820           -            898         0 1746.0 122.5   3   3   7.3e-19   1.2e-16   58.5  10.7   775   898   968  1093   951  1093 0.52 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 2167at5820           -            898     4e-59  199.0  25.7   1   5       2.1   3.4e+02   -2.6  15.1   750   879   170   304   167   312 0.41 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 2167at5820           -            898     4e-59  199.0  25.7   2   5     6e-36   9.6e-34  115.0  14.0   134   436   318   600   296   616 0.82 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 2167at5820           -            898     4e-59  199.0  25.7   3   5     3e-31   4.8e-29   99.4   3.8   490   673   615   800   610   825 0.91 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 2167at5820           -            898     4e-59  199.0  25.7   4   5      0.92   1.5e+02   -1.4  11.2   755   859   849   925   797   962 0.40 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 2167at5820           -            898     4e-59  199.0  25.7   5   5       2.5     4e+02   -2.8   0.2   631   672  1089  1130  1047  1162 0.72 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 2167at5820           -            898   3.8e-57  192.5  11.6   1   5   6.5e-36     1e-33  114.9   2.9   154   435  1408  1688  1389  1699 0.82 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 2167at5820           -            898   3.8e-57  192.5  11.6   2   5   1.9e-29     3e-27   93.5   1.5   482   648  1694  1861  1688  1869 0.88 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 2167at5820           -            898   3.8e-57  192.5  11.6   3   5         2   3.1e+02   -2.5   3.3   787   821  2341  2368  2329  2393 0.41 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
