#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1462700.1-p1   -           1474 2950at5820           -            863         0 1482.7 111.7   1   6  1.7e-213  1.1e-210  700.5  31.7     5   361    60   443    56   446 0.93 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 2950at5820           -            863         0 1482.7 111.7   2   6   1.2e-99   7.7e-97  323.8  10.5   362   534   511   699   509   704 0.92 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 2950at5820           -            863         0 1482.7 111.7   3   6   4.2e-25   2.8e-22   77.2   3.8   527   583   770   834   766   841 0.89 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 2950at5820           -            863         0 1482.7 111.7   4   6   6.7e-56   4.4e-53  179.1  14.3   575   678   926  1029   918  1049 0.93 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 2950at5820           -            863         0 1482.7 111.7   5   6   1.1e-16   6.9e-14   49.4   0.2   699   758  1191  1268  1178  1277 0.78 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 2950at5820           -            863         0 1482.7 111.7   6   6   2.7e-56   1.8e-53  180.4  14.5   753   863  1357  1470  1342  1470 0.94 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820800.1-p1   -           1285 2950at5820           -            863   1.1e-44  151.3  23.5   1   2   2.7e-12   1.8e-09   34.8   1.1    52   144   508   608   487   617 0.77 | transcript=PVP01_0820800.1 | gene=PVP01_0820800 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=PvP01_08_v2:911832-915689(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820800.1-p1   -           1285 2950at5820           -            863   1.1e-44  151.3  23.5   2   2   2.1e-38   1.3e-35  121.2  16.3   178   498   609   931   607   939 0.80 | transcript=PVP01_0820800.1 | gene=PVP01_0820800 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=PvP01_08_v2:911832-915689(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 2950at5820           -            863   1.1e-39  134.7   9.5   1   5   6.6e-13   4.3e-10   36.8   0.1    70   143    78   151    47   154 0.92 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 2950at5820           -            863   1.1e-39  134.7   9.5   2   5   6.2e-35   4.1e-32  109.7   5.4   199   420   192   430   182   461 0.81 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 2950at5820           -            863   1.1e-39  134.7   9.5   3   5       4.5   2.9e+03   -5.6   2.7   788   817   855   884   852   896 0.55 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
