#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1426000.1-p1   -           1070 2482at5820           -            609         0 1160.3  52.5   1   4   1.9e-23   5.8e-21   73.0   3.0     1    69     1    70     1    76 0.95 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 2482at5820           -            609         0 1160.3  52.5   2   4  1.4e-126  4.2e-124  413.6   8.7    50   286   187   422   153   429 0.91 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 2482at5820           -            609         0 1160.3  52.5   3   4  4.8e-180  1.5e-177  590.2   8.6   286   549   542   805   537   812 0.99 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 2482at5820           -            609         0 1160.3  52.5   4   4   3.1e-32   9.6e-30  102.0   8.4   542   609  1003  1070   995  1070 0.96 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 2482at5820           -            609  1.3e-141  471.4   7.6   1   2   5.9e-63   1.8e-60  203.4   0.9   313   539   472   697   461   710 0.92 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 2482at5820           -            609  1.3e-141  471.4   7.6   2   2   1.4e-83   4.3e-81  271.6   0.9   280   536   759  1015   754  1027 0.95 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 2482at5820           -            609  8.1e-130  432.5   0.0   1   2   1.3e-59   4.2e-57  192.4   0.0   312   557   202   446   192   457 0.94 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 2482at5820           -            609  8.1e-130  432.5   0.0   2   2   2.3e-73   7.1e-71  237.8   0.0   306   549   469   714   464   783 0.89 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 2482at5820           -            609   1.9e-91  305.8  26.4   1   4   8.8e-13   2.7e-10   37.7   1.7   299   376   328   405   322   431 0.85 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 2482at5820           -            609   1.9e-91  305.8  26.4   2   4   6.9e-17   2.1e-14   51.3   3.6   404   541   493   627   468   632 0.83 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 2482at5820           -            609   1.9e-91  305.8  26.4   3   4   5.8e-68   1.8e-65  220.0   6.0   296   508   749   960   741   965 0.94 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 2482at5820           -            609   1.9e-91  305.8  26.4   4   4    0.0027      0.83    6.4   0.0   513   545  1094  1126  1076  1156 0.81 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
