#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0917800.1-p1   -           1566 8100at5820           -            858  8.1e-271  899.5  48.8   1  10     0.045   1.5e+02   -1.2   0.7    67    97     7    37     4    42 0.87 | transcript=PVP01_0917800.1 | gene=PVP01_0917800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:794523-799223(+) | protein_length=1566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917800.1-p1   -           1566 8100at5820           -            858  8.1e-271  899.5  48.8   2  10     0.005        16    2.0   0.2     1    17    45    61    45    66 0.90 | transcript=PVP01_0917800.1 | gene=PVP01_0917800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:794523-799223(+) | protein_length=1566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917800.1-p1   -           1566 8100at5820           -            858  8.1e-271  899.5  48.8   3  10   4.2e-22   1.4e-18   65.1   0.0    13    84    80   152    71   168 0.89 | transcript=PVP01_0917800.1 | gene=PVP01_0917800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:794523-799223(+) | protein_length=1566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917800.1-p1   -           1566 8100at5820           -            858  8.1e-271  899.5  48.8   4  10   2.4e-10   7.7e-07   26.2   0.0    74   110   187   223   180   230 0.90 | transcript=PVP01_0917800.1 | gene=PVP01_0917800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:794523-799223(+) | protein_length=1566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917800.1-p1   -           1566 8100at5820           -            858  8.1e-271  899.5  48.8   5  10   9.7e-09   3.1e-05   20.9   0.0   134   164   327   357   296   365 0.78 | transcript=PVP01_0917800.1 | gene=PVP01_0917800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:794523-799223(+) | protein_length=1566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917800.1-p1   -           1566 8100at5820           -            858  8.1e-271  899.5  48.8   6  10   4.7e-12   1.5e-08   31.8   0.2   163   196   382   415   371   422 0.90 | transcript=PVP01_0917800.1 | gene=PVP01_0917800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:794523-799223(+) | protein_length=1566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917800.1-p1   -           1566 8100at5820           -            858  8.1e-271  899.5  48.8   7  10   2.2e-19   7.1e-16   56.1   0.0   216   261   560   605   551   613 0.90 | transcript=PVP01_0917800.1 | gene=PVP01_0917800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:794523-799223(+) | protein_length=1566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917800.1-p1   -           1566 8100at5820           -            858  8.1e-271  899.5  48.8   8  10   8.5e-57   2.8e-53  179.9   0.4   260   406   647   827   640   862 0.80 | transcript=PVP01_0917800.1 | gene=PVP01_0917800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:794523-799223(+) | protein_length=1566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917800.1-p1   -           1566 8100at5820           -            858  8.1e-271  899.5  48.8   9  10    0.0046        15    2.1   0.0   462   501  1081  1114  1060  1117 0.81 | transcript=PVP01_0917800.1 | gene=PVP01_0917800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:794523-799223(+) | protein_length=1566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917800.1-p1   -           1566 8100at5820           -            858  8.1e-271  899.5  48.8  10  10  4.5e-159  1.5e-155  518.2  21.3   502   858  1157  1551  1154  1551 0.93 | transcript=PVP01_0917800.1 | gene=PVP01_0917800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:794523-799223(+) | protein_length=1566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1200300.1-p1   -            383 8100at5820           -            858     0.057   10.1   0.1   1   1   2.8e-05     0.093    9.4   0.1   190   251   195   256   192   264 0.92 | transcript=PVP01_1200300.1 | gene=PVP01_1200300 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_12_v2:5803-7182(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
