#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1130000.1-p1   -           1314 1244at5820           -           1042         0 1765.5  63.2   1   5   4.5e-84   1.5e-80  270.1   8.4     2   154     5   160     4   162 0.97 | transcript=PVP01_1130000.1 | gene=PVP01_1130000 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=PvP01_11_v2:1283252-1287196(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130000.1-p1   -           1314 1244at5820           -           1042         0 1765.5  63.2   2   5  3.6e-182  1.2e-178  594.9   8.1   154   463   187   520   182   527 0.96 | transcript=PVP01_1130000.1 | gene=PVP01_1130000 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=PvP01_11_v2:1283252-1287196(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130000.1-p1   -           1314 1244at5820           -           1042         0 1765.5  63.2   3   5  2.1e-102   6.7e-99  330.8   1.3   456   679   550   808   544   819 0.90 | transcript=PVP01_1130000.1 | gene=PVP01_1130000 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=PvP01_11_v2:1283252-1287196(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130000.1-p1   -           1314 1244at5820           -           1042         0 1765.5  63.2   4   5   7.7e-82   2.5e-78  262.7  14.0   677   860   843  1064   818  1068 0.85 | transcript=PVP01_1130000.1 | gene=PVP01_1130000 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=PvP01_11_v2:1283252-1287196(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130000.1-p1   -           1314 1244at5820           -           1042         0 1765.5  63.2   5   5  3.2e-102   1.1e-98  330.2   1.1   862  1042  1118  1313  1110  1313 0.95 | transcript=PVP01_1130000.1 | gene=PVP01_1130000 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA synthetase, putative | transcript_product=acyl-CoA synthetase, putative | location=PvP01_11_v2:1283252-1287196(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121700.1-p1   -            978 1244at5820           -           1042   4.4e-09   33.5   1.1   1   4     0.018        60   -0.1   0.0    23    71   137   185   126   198 0.83 | transcript=PVP01_1121700.1 | gene=PVP01_1121700 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=PvP01_11_v2:961821-964757(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121700.1-p1   -            978 1244at5820           -           1042   4.4e-09   33.5   1.1   2   4   1.2e-05     0.038   10.5   0.0   120   275   483   643   435   660 0.75 | transcript=PVP01_1121700.1 | gene=PVP01_1121700 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=PvP01_11_v2:961821-964757(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121700.1-p1   -            978 1244at5820           -           1042   4.4e-09   33.5   1.1   3   4   7.7e-08   0.00025   17.7   0.0   395   446   760   811   740   831 0.85 | transcript=PVP01_1121700.1 | gene=PVP01_1121700 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=PvP01_11_v2:961821-964757(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1121700.1-p1   -            978 1244at5820           -           1042   4.4e-09   33.5   1.1   4   4     0.023        75   -0.4   0.0   461   528   893   966   886   972 0.72 | transcript=PVP01_1121700.1 | gene=PVP01_1121700 | organism=Plasmodium_vivax_P01 | gene_product=acetyl-CoA synthetase, putative | transcript_product=acetyl-CoA synthetase, putative | location=PvP01_11_v2:961821-964757(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1244at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1244at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1244at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:54 2026
# [ok]
