#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0304100.1-p1   -            762 4841at5820           -            504  2.3e-254  843.3  42.5   1   5   1.8e-82   1.1e-79  267.1   2.1     3   155     4   166     1   168 0.91 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 4841at5820           -            504  2.3e-254  843.3  42.5   2   5   1.8e-19     1e-16   59.3   0.1   155   208   235   294   227   298 0.88 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 4841at5820           -            504  2.3e-254  843.3  42.5   3   5   1.3e-78   7.4e-76  254.4   6.1   202   345   333   480   320   484 0.95 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 4841at5820           -            504  2.3e-254  843.3  42.5   4   5   1.5e-61   8.8e-59  198.1   2.9   345   469   576   706   573   714 0.92 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304100.1-p1   -            762 4841at5820           -            504  2.3e-254  843.3  42.5   5   5   1.7e-27     1e-24   85.7   3.2   456   503   715   762   711   762 0.96 | transcript=PVP01_0304100.1 | gene=PVP01_0304100 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=PvP01_03_v2:220119-222535(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 4841at5820           -            504   2.4e-30  104.3  14.8   1   3   8.7e-05     0.052   10.8   0.3     3   107    12   120    10   123 0.74 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 4841at5820           -            504   2.4e-30  104.3  14.8   2   3   4.2e-12   2.5e-09   34.9   0.3   246   313   382   454   365   469 0.82 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917300.1-p1   -            690 4841at5820           -            504   2.4e-30  104.3  14.8   3   3   1.6e-21   9.2e-19   66.1   2.0   382   494   554   669   545   675 0.80 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464900.1-p1   -            621 4841at5820           -            504   2.7e-29  100.8   7.9   1   2   7.4e-07   0.00044   17.6   0.1     5   133     8   147     4   151 0.55 | transcript=PVP01_1464900.1 | gene=PVP01_1464900 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=PvP01_14_v2:2775108-2778357(+) | protein_length=621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464900.1-p1   -            621 4841at5820           -            504   2.7e-29  100.8   7.9   2   2   1.4e-25   8.2e-23   79.4   4.1   246   491   312   551   308   561 0.76 | transcript=PVP01_1464900.1 | gene=PVP01_1464900 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=PvP01_14_v2:2775108-2778357(+) | protein_length=621 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916200.1-p1   -            487 4841at5820           -            504   1.1e-17   62.5  12.0   1   3      0.43   2.6e+02   -1.4   0.3   210   228   219   237   126   268 0.53 | transcript=PVP01_0916200.1 | gene=PVP01_0916200 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:730476-731939(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
