#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0216000.1-p1   -           1316 1802at5820           -            635         0 1014.0 102.0   1   4   1.1e-18   6.2e-16   56.7   0.5     7    68    40   110    35   118 0.86 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 1802at5820           -            635         0 1014.0 102.0   2   4   2.1e-25   1.1e-22   78.9   0.1    62   129   218   286   199   300 0.92 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 1802at5820           -            635         0 1014.0 102.0   3   4   3.2e-25   1.8e-22   78.3  41.2   124   222   713   825   706   832 0.81 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 1802at5820           -            635         0 1014.0 102.0   4   4  5.9e-256  3.2e-253  840.6  42.2   210   635   847  1316   827  1316 0.93 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440600.1-p1   -           2905 1802at5820           -            635   5.5e-14   50.2   0.5   1   2     1e-16   5.5e-14   50.2   0.5   321   391  1902  1972  1872  1993 0.86 | transcript=PVP01_1440600.1 | gene=PVP01_1440600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:1732548-1741265(+) | protein_length=2905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440600.1-p1   -           2905 1802at5820           -            635   5.5e-14   50.2   0.5   2   2   0.00015     0.079   10.1   5.7   525   613  2806  2893  2796  2902 0.83 | transcript=PVP01_1440600.1 | gene=PVP01_1440600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:1732548-1741265(+) | protein_length=2905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 1802at5820           -            635   2.9e-13   47.8  49.9   1   3   1.3e-07   7.1e-05   20.1  30.0   175   390   242   468   161   474 0.66 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 1802at5820           -            635   2.9e-13   47.8  49.9   2   3   3.2e-10   1.7e-07   28.8   0.1   340   390   618   668   595   671 0.92 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 1802at5820           -            635   2.9e-13   47.8  49.9   3   3    0.0031       1.7    5.7   2.7   236   391   675   837   670   862 0.72 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 1802at5820           -            635   3.7e-13   47.5  11.7   1   5   6.8e-16   3.7e-13   47.5  11.7   251   470   105   335    82   340 0.71 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 1802at5820           -            635   3.7e-13   47.5  11.7   2   5       4.5   2.5e+03   -4.8   2.5   131   176  1080  1125  1059  1191 0.46 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 1802at5820           -            635   3.7e-13   47.5  11.7   3   5     0.017       9.2    3.2   0.0   322   437  1944  1977  1917  2017 0.60 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 1802at5820           -            635   3.7e-13   47.5  11.7   4   5      0.74     4e+02   -2.2   5.0   138   287  2419  2566  2400  2581 0.72 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 1802at5820           -            635   3.7e-13   47.5  11.7   5   5   0.00075      0.41    7.7   4.9   497   624  2684  2822  2620  2826 0.75 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017200.1-p1   -           2442 1802at5820           -            635   4.8e-13   47.1   7.4   1   2   6.2e-12   3.3e-09   34.4   0.4   329   386  1027  1084  1015  1092 0.90 | transcript=PVP01_1017200.1 | gene=PVP01_1017200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=PvP01_10_v2:762252-769580(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017200.1-p1   -           2442 1802at5820           -            635   4.8e-13   47.1   7.4   2   2   1.5e-09   8.4e-07   26.5   1.6   338   388  1935  1986  1928  1998 0.87 | transcript=PVP01_1017200.1 | gene=PVP01_1017200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=PvP01_10_v2:762252-769580(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
