#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0512000.1-p1   -             83 15067at5820          -             67   6.4e-45  149.6   3.2   1   1   1.7e-47   8.8e-45  149.2   3.2     5    67    21    83    18    83 0.98 | transcript=PVP01_0512000.1 | gene=PVP01_0512000 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=PvP01_05_v2:514732-515202(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308300.1-p1   -            107 15067at5820          -             67   1.8e-08   32.9   0.4   1   1   1.7e-10   8.3e-08   30.7   0.4     6    58    28    89    23    96 0.77 | transcript=PVP01_1308300.1 | gene=PVP01_1308300 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=PvP01_13_v2:385227-386003(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204600.1-p1   -             94 15067at5820          -             67   5.9e-07   28.0   0.0   1   1   1.6e-09     8e-07   27.6   0.0     9    56    34    83    25    93 0.82 | transcript=PVP01_1204600.1 | gene=PVP01_1204600 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=PvP01_12_v2:185359-186110(+) | protein_length=94 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505100.1-p1   -             95 15067at5820          -             67   8.1e-06   24.3   0.8   1   1   2.1e-08   1.1e-05   23.9   0.8     8    57    16    68    11    78 0.86 | transcript=PVP01_0505100.1 | gene=PVP01_0505100 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=PvP01_05_v2:234631-235447(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263700.1-p1   -            101 15067at5820          -             67   2.9e-05   22.5   1.6   1   1   2.4e-07   0.00012   20.6   1.4     6    37    24    55    19    98 0.82 | transcript=PVP01_1263700.1 | gene=PVP01_1263700 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=PvP01_12_v2:2632824-2633500(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514400.1-p1   -             91 15067at5820          -             67   3.7e-05   22.2   0.7   1   1   2.1e-06    0.0011   17.5   0.7    11    43    27    59    18    88 0.72 | transcript=PVP01_0514400.1 | gene=PVP01_0514400 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=PvP01_05_v2:604006-604844(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0925000.1-p1   -            149 15067at5820          -             67   5.7e-05   21.6   0.4   1   1     2e-07    0.0001   20.8   0.4    12    62    27    83    18    87 0.81 | transcript=PVP01_0925000.1 | gene=PVP01_0925000 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm1, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm1, putative | location=PvP01_09_v2:1116482-1117289(-) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907800.1-p1   -            127 15067at5820          -             67   0.00096   17.7   0.1   1   1   2.7e-06    0.0013   17.2   0.1    12    63    22    75    11    79 0.80 | transcript=PVP01_0907800.1 | gene=PVP01_0907800 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=PvP01_09_v2:411259-412094(+) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334100.1-p1   -            201 15067at5820          -             67    0.0011   17.6   0.6   1   1     6e-06     0.003   16.1   0.6     8    56    17    74    13    80 0.73 | transcript=PVP01_1334100.1 | gene=PVP01_1334100 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=PvP01_13_v2:1467665-1468515(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927600.1-p1   -             86 15067at5820          -             67    0.0033   16.0   0.1   1   1   1.7e-05    0.0088   14.6   0.1    17    57    33    74    11    79 0.80 | transcript=PVP01_0927600.1 | gene=PVP01_0927600 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=PvP01_09_v2:1217183-1218081(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708300.1-p1   -            116 15067at5820          -             67    0.0055   15.3   0.0   1   1   1.6e-05    0.0079   14.8   0.0    25    57    37    70    23    77 0.85 | transcript=PVP01_0708300.1 | gene=PVP01_0708300 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein Sm D3, putative | transcript_product=small nuclear ribonucleoprotein Sm D3, putative | location=PvP01_07_v2:425667-426317(+) | protein_length=116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1229600.1-p1   -             77 15067at5820          -             67    0.0062   15.1   0.2   1   1   1.8e-05    0.0089   14.6   0.2     8    62    20    75    13    76 0.87 | transcript=PVP01_1229600.1 | gene=PVP01_1229600 | organism=Plasmodium_vivax_P01 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=PvP01_12_v2:1183413-1183646(+) | protein_length=77 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926200.1-p1   -            127 15067at5820          -             67     0.036   12.6   3.2   1   1   0.00076      0.38    9.4   3.2     8    59    17    79    11    86 0.66 | transcript=PVP01_0926200.1 | gene=PVP01_0926200 | organism=Plasmodium_vivax_P01 | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=PvP01_09_v2:1161102-1161485(-) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15067at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
