#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1442000.1-p1   -            306 9708at5820           -            266  2.8e-166  550.0   7.5   1   2  4.1e-113  4.4e-110  365.7   3.1     1   177     1   177     1   192 0.97 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 9708at5820           -            266  2.8e-166  550.0   7.5   2   2   1.5e-58   1.7e-55  186.8   0.1   177   265   217   305   207   306 0.96 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 9708at5820           -            266   2.1e-11   42.2   0.2   1   3   0.00015      0.16    9.8   0.0   171   240    18    91    12    92 0.69 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 9708at5820           -            266   2.1e-11   42.2   0.2   2   3   4.8e-10   5.3e-07   27.8   0.0   131   251    78   201    36   216 0.78 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 9708at5820           -            266   2.1e-11   42.2   0.2   3   3   0.00019      0.21    9.4   0.1   182   241   224   289   212   314 0.69 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 9708at5820           -            266   9.4e-10   36.8   0.7   1   3    0.0058       6.3    4.6   0.0   183   213    35    66    19    83 0.80 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 9708at5820           -            266   9.4e-10   36.8   0.7   2   3      0.22   2.4e+02   -0.6   0.1    20    81   765   826   751   834 0.74 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703600.1-p1   -           1119 9708at5820           -            266   9.4e-10   36.8   0.7   3   3   3.9e-10   4.2e-07   28.1   0.1   181   250  1027  1096   992  1109 0.85 | transcript=PVP01_0703600.1 | gene=PVP01_0703600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:207306-210665(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 9708at5820           -            266   6.1e-09   34.1   6.8   1   4     0.037        40    1.9   0.0   180   210    13    44     2    48 0.73 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 9708at5820           -            266   6.1e-09   34.1   6.8   2   4   1.2e-06    0.0013   16.7   0.2   114   177   197   263   153   285 0.80 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 9708at5820           -            266   6.1e-09   34.1   6.8   3   4     0.036        39    2.0   0.1   124   216   338   438   290   444 0.62 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
