#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0621700.1-p1   -            301 8914at5820           -            281  6.9e-183  604.8   7.0   1   1  9.5e-186  7.8e-183  604.6   7.0     1   281     8   298     8   298 0.98 | transcript=PVP01_0621700.1 | gene=PVP01_0621700 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=PvP01_06_v2:884744-885649(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 8914at5820           -            281   1.1e-18   66.0  10.8   1   3   2.1e-06    0.0017   16.2   0.7    10    97    98   175    90   181 0.81 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 8914at5820           -            281   1.1e-18   66.0  10.8   2   3   3.1e-14   2.5e-11   41.9   1.4   103   193   215   302   188   312 0.90 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 8914at5820           -            281   1.1e-18   66.0  10.8   3   3   3.8e-05     0.031   12.1   0.0   195   272   411   496   401   505 0.69 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 8914at5820           -            281     7e-18   63.4   5.2   1   3    0.0016       1.3    6.7   0.0     7    39    20    52    15    77 0.84 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 8914at5820           -            281     7e-18   63.4   5.2   2   3     6e-06    0.0049   14.7   0.0    43    99   205   261   184   276 0.85 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 8914at5820           -            281     7e-18   63.4   5.2   3   3   3.7e-13     3e-10   38.4   2.9    99   278   289   485   272   488 0.69 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 8914at5820           -            281   3.3e-17   61.2   2.0   1   2     1e-07   8.2e-05   20.5   0.1   110   186    37   112    18   122 0.88 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 8914at5820           -            281   3.3e-17   61.2   2.0   2   2   7.2e-14   5.9e-11   40.7   0.3   105   273   127   302   113   311 0.79 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804500.1-p1   -            341 8914at5820           -            281   3.4e-12   44.7   3.1   1   2   7.8e-14   6.3e-11   40.6   0.7     2   176    18   193    17   211 0.80 | transcript=PVP01_0804500.1 | gene=PVP01_0804500 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=PvP01_08_v2:221657-223044(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804500.1-p1   -            341 8914at5820           -            281   3.4e-12   44.7   3.1   2   2    0.0079       6.4    4.5   0.1    93   168   233   316   226   334 0.66 | transcript=PVP01_0804500.1 | gene=PVP01_0804500 | organism=Plasmodium_vivax_P01 | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=PvP01_08_v2:221657-223044(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
