#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0917600.1-p1   -           1001 5341at5820           -            799         0 1275.9  22.5   1   1         0         0 1271.4  22.5     1   799     1  1001     1  1001 0.86 | transcript=PVP01_0917600.1 | gene=PVP01_0917600 | organism=Plasmodium_vivax_P01 | gene_product=MFS domain-containing protein P115, putative | transcript_product=MFS domain-containing protein P115, putative | location=PvP01_09_v2:786731-790350(-) | protein_length=1001 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423500.1-p1   -            244 5341at5820           -            799     0.053   10.4  14.1   1   1    0.0001     0.057   10.3  14.1   424   539    50   156    11   217 0.45 | transcript=PVP01_1423500.1 | gene=PVP01_1423500 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_14_v2:1036514-1037658(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104100.1-p1   -            250 5341at5820           -            799       0.1    9.4   9.1   1   1   0.00023      0.12    9.1   9.1   426   570    69   210    59   236 0.56 | transcript=PVP01_1104100.1 | gene=PVP01_1104100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:167010-167762(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411700.1-p1   -            158 5341at5820           -            799       2.2    5.0   7.0   1   1    0.0036         2    5.2   7.0   430   494    89   153    13   158 0.55 | transcript=PVP01_1411700.1 | gene=PVP01_1411700 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=PvP01_14_v2:528162-528638(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 5341at5820           -            799       4.1    4.1  14.7   1   1    0.0093       5.1    3.8  14.7   439   579   123   270    26   280 0.55 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1410100.1-p1   -            162 5341at5820           -            799       4.2    4.1  12.7   1   1    0.0089       4.8    3.9  12.7   380   499    46   154    32   162 0.53 | transcript=PVP01_1410100.1 | gene=PVP01_1410100 | organism=Plasmodium_vivax_P01 | gene_product=60S ribosomal protein L24, putative | transcript_product=60S ribosomal protein L24, putative | location=PvP01_14_v2:475046-476264(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1406800.1-p1   -            543 5341at5820           -            799       4.6    4.0  14.2   1   1     0.013       7.3    3.3  14.2   422   530   111   221    49   268 0.61 | transcript=PVP01_1406800.1 | gene=PVP01_1406800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:325846-327839(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301200.1-p1   -            251 5341at5820           -            799       5.4    3.7   6.9   1   1      0.01       5.7    3.6   6.9   422   545    24   129     8   205 0.51 | transcript=PVP01_1301200.1 | gene=PVP01_1301200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:48693-49870(-) | protein_length=251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 5341at5820           -            799         6    3.6  24.9   1   1     0.013       7.3    3.3  24.9   438   570    67   194    52   216 0.31 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620500.1-p1   -            435 5341at5820           -            799       7.3    3.3  16.8   1   1     0.018       9.9    2.8  16.8   436   580   258   407   227   425 0.48 | transcript=PVP01_0620500.1 | gene=PVP01_0620500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:831839-833146(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 5341at5820           -            799       8.1    3.1   9.5   1   1     0.021        11    2.7   9.5   472   570    79   182    44   199 0.51 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418300.1-p1   -            209 5341at5820           -            799       8.5    3.1  13.7   1   1      0.02        11    2.7  13.7   436   566    26   164     9   193 0.56 | transcript=PVP01_1418300.1 | gene=PVP01_1418300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_14_v2:809257-809886(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5341at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5341at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5341at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:22 2026
# [ok]
