#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0612400.1-p1   -            485 14061at5820          -            352    6e-116  386.1 166.4   1   4  3.1e-102   3.3e-99  331.0  20.3     1   195     1   195     1   214 0.87 | transcript=PVP01_0612400.1 | gene=PVP01_0612400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=PvP01_06_v2:542970-545119(-) | protein_length=485 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612400.1-p1   -            485 14061at5820          -            352    6e-116  386.1 166.4   2   4     0.029        31    2.2   1.9   157   184   185   212   181   223 0.73 | transcript=PVP01_0612400.1 | gene=PVP01_0612400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=PvP01_06_v2:542970-545119(-) | protein_length=485 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612400.1-p1   -            485 14061at5820          -            352    6e-116  386.1 166.4   3   4   6.2e-08   6.7e-05   20.8  43.8   166   253   223   332   205   338 0.64 | transcript=PVP01_0612400.1 | gene=PVP01_0612400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=PvP01_06_v2:542970-545119(-) | protein_length=485 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612400.1-p1   -            485 14061at5820          -            352    6e-116  386.1 166.4   4   4   8.5e-14   9.2e-11   40.1  92.3   230   352   340   485   329   485 0.80 | transcript=PVP01_0612400.1 | gene=PVP01_0612400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=PvP01_06_v2:542970-545119(-) | protein_length=485 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118000.1-p1   -            220 14061at5820          -            352   3.7e-07   28.3   0.4   1   1   4.5e-10   4.9e-07   27.9   0.4    40   119    35   121    31   143 0.87 | transcript=PVP01_0118000.1 | gene=PVP01_0118000 | organism=Plasmodium_vivax_P01 | gene_product=1-cys peroxiredoxin | transcript_product=1-cys peroxiredoxin | location=PvP01_01_v2:808347-809009(-) | protein_length=220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1433800.1-p1   -            216 14061at5820          -            352   0.00019   19.3   0.1   1   1   2.3e-07   0.00025   19.0   0.1    17   132    34   154    27   184 0.78 | transcript=PVP01_1433800.1 | gene=PVP01_1433800 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin peroxidase 2, putative | transcript_product=thioredoxin peroxidase 2, putative | location=PvP01_14_v2:1451380-1452030(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1268100.1-p1   -            195 14061at5820          -            352   0.00032   18.6   0.0   1   1   3.5e-07   0.00038   18.4   0.0    38   152    36   158    24   187 0.83 | transcript=PVP01_1268100.1 | gene=PVP01_1268100 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin peroxidase 1, putative | transcript_product=thioredoxin peroxidase 1, putative | location=PvP01_12_v2:2848052-2848639(-) | protein_length=195 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111100.1-p1   -            283 14061at5820          -            352     0.049   11.4  58.7   1   1   6.2e-05     0.068   11.0  58.7   169   328    50   224    37   246 0.63 | transcript=PVP01_0111100.1 | gene=PVP01_0111100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:522872-523723(-) | protein_length=283 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208200.1-p1   -            292 14061at5820          -            352      0.68    7.7  23.8   1   1   0.00085      0.92    7.2  23.8   198   286    61   147    35   168 0.67 | transcript=PVP01_0208200.1 | gene=PVP01_0208200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:342180-343058(-) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14061at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14061at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14061at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:20 2026
# [ok]
