#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1244900.1-p1   -           1071 1552at5820           -            902         0 1845.4  35.8   1   3  4.9e-303  4.6e-300  996.3  10.8     1   451    31   490    31   496 0.99 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 1552at5820           -            902         0 1845.4  35.8   2   3  8.2e-166  7.6e-163  542.3   0.8   440   705   508   796   505   801 0.94 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 1552at5820           -            902         0 1845.4  35.8   3   3   4.8e-98   4.4e-95  318.0   9.4   701   902   839  1071   833  1071 0.93 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221800.1-p1   -           1206 1552at5820           -            902   1.5e-35  121.0  23.2   1   2   7.5e-12     7e-09   32.8   1.8    16   203    76   268    66   277 0.83 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221800.1-p1   -           1206 1552at5820           -            902   1.5e-35  121.0  23.2   2   2   1.8e-28   1.7e-25   87.8  14.0   250   736   397   906   391   914 0.73 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 1552at5820           -            902   9.4e-20   68.8   0.3   1   4   5.7e-18   5.3e-15   53.0   0.0    30   200   258   423   228   430 0.85 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 1552at5820           -            902   9.4e-20   68.8   0.3   2   4      0.28   2.6e+02   -2.2   0.0   397   436   700   739   661   740 0.78 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 1552at5820           -            902   9.4e-20   68.8   0.3   3   4   1.8e-05     0.017   11.7   0.0   464   524   813   877   799   881 0.75 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 1552at5820           -            902   9.4e-20   68.8   0.3   4   4      0.21     2e+02   -1.8   0.0   530   553   920   943   917   957 0.86 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1552at5820           -            902   1.2e-13   48.6  16.7   1   6   3.2e-06     0.003   14.1   0.9    36   101   217   282   192   287 0.82 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1552at5820           -            902   1.2e-13   48.6  16.7   2   6      0.47   4.3e+02   -2.9   0.1   141   192   398   449   366   454 0.78 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
