#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1113500.1-p1   -            135 14437at5820          -            112   8.6e-54  179.1  14.0   1   2   1.1e-55   5.8e-53  176.4  10.2     1   107     5   115     5   119 0.93 | transcript=PVP01_1113500.1 | gene=PVP01_1113500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:583639-584541(-) | protein_length=135 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113500.1-p1   -            135 14437at5820          -            112   8.6e-54  179.1  14.0   2   2     0.023        13    4.6   0.1   101   112   124   135   121   135 0.86 | transcript=PVP01_1113500.1 | gene=PVP01_1113500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:583639-584541(-) | protein_length=135 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0005100.1-p1   -            244 14437at5820          -            112    0.0027   16.4   2.3   1   2    0.0022       1.2    7.9   0.0    13    81    79   148    69   160 0.74 | transcript=PVP01_0005100.1 | gene=PVP01_0005100 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_14.final:58298-59162(-) | protein_length=244 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0005100.1-p1   -            244 14437at5820          -            112    0.0027   16.4   2.3   2   2    0.0021       1.1    8.0   0.8    75   108   203   237   184   241 0.77 | transcript=PVP01_0005100.1 | gene=PVP01_0005100 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_14.final:58298-59162(-) | protein_length=244 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0006170.1-p1   -            214 14437at5820          -            112    0.0035   16.1   6.2   1   2   3.5e-05     0.019   13.7   0.2    39    89    66   114    38   121 0.74 | transcript=PVP01_0006170.1 | gene=PVP01_0006170 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_19.final:21144-22080(-) | protein_length=214 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0006170.1-p1   -            214 14437at5820          -            112    0.0035   16.1   6.2   2   2      0.03        16    4.3   1.7    64    83   172   191   145   195 0.59 | transcript=PVP01_0006170.1 | gene=PVP01_0006170 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_19.final:21144-22080(-) | protein_length=214 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0006330.1-p1   -            259 14437at5820          -            112    0.0064   15.2   6.9   1   2      0.13        72    2.2   0.1    43    75   132   169   115   175 0.72 | transcript=PVP01_0006330.1 | gene=PVP01_0006330 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_19.final:85200-86064(-) | protein_length=259 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0006330.1-p1   -            259 14437at5820          -            112    0.0064   15.2   6.9   2   2   2.3e-05     0.012   14.3   2.7    75   109   204   239   192   241 0.76 | transcript=PVP01_0006330.1 | gene=PVP01_0006330 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_19.final:85200-86064(-) | protein_length=259 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0007190.1-p1   -            279 14437at5820          -            112     0.012   14.3   1.2   1   3      0.46   2.5e+02    0.4   1.0    63    87    11    35     3    39 0.57 | transcript=PVP01_0007190.1 | gene=PVP01_0007190 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_25.final:37577-38589(-) | protein_length=279 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0007190.1-p1   -            279 14437at5820          -            112     0.012   14.3   1.2   2   3      0.61   3.3e+02    0.0   0.1    43    72   135   163   112   180 0.57 | transcript=PVP01_0007190.1 | gene=PVP01_0007190 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_25.final:37577-38589(-) | protein_length=279 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0007190.1-p1   -            279 14437at5820          -            112     0.012   14.3   1.2   3   3   2.3e-05     0.012   14.3   1.2    52    91   217   256   198   274 0.80 | transcript=PVP01_0007190.1 | gene=PVP01_0007190 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_25.final:37577-38589(-) | protein_length=279 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
