#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0618100.1-p1   -            512 5626at5820           -            398  3.5e-227  752.6  20.0   1   2  8.1e-212  5.3e-209  692.7  17.7     1   350    44   395    44   403 0.99 | transcript=PVP01_0618100.1 | gene=PVP01_0618100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=PvP01_06_v2:740995-742533(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618100.1-p1   -            512 5626at5820           -            398  3.5e-227  752.6  20.0   2   2   9.1e-20   5.9e-17   60.3   0.0   348   397   460   510   449   511 0.90 | transcript=PVP01_0618100.1 | gene=PVP01_0618100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=PvP01_06_v2:740995-742533(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263800.1-p1   -            596 5626at5820           -            398   1.9e-11   42.2  32.2   1   2   4.7e-05     0.031   11.8   4.9    44   179    34   169     2   184 0.89 | transcript=PVP01_1263800.1 | gene=PVP01_1263800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_12_v2:2634322-2636348(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263800.1-p1   -            596 5626at5820           -            398   1.9e-11   42.2  32.2   2   2   2.3e-12   1.5e-09   35.9  19.3    43   211   212   386   181   394 0.79 | transcript=PVP01_1263800.1 | gene=PVP01_1263800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_12_v2:2634322-2636348(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 5626at5820           -            398   2.1e-11   42.0   6.6   1   2   2.8e-08   1.8e-05   22.4   0.3    48   141   245   338   233   346 0.93 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 5626at5820           -            398   2.1e-11   42.0   6.6   2   2     4e-08   2.6e-05   22.0   1.6    73   194   345   466   341   510 0.89 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 5626at5820           -            398   5.1e-10   37.4  36.5   1   3   8.1e-09   5.3e-06   24.2  17.9    67   290    94   313    77   345 0.85 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 5626at5820           -            398   5.1e-10   37.4  36.5   2   3    0.0021       1.4    6.4  12.3    34   185   249   412   222   414 0.74 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 5626at5820           -            398   5.1e-10   37.4  36.5   3   3   1.1e-06   0.00071   17.2  10.4    67   189   364   490   348   506 0.85 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 5626at5820           -            398   2.8e-09   35.0  22.5   1   5       0.7   4.6e+02   -1.9   0.2   112   148   103   139    52   167 0.65 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 5626at5820           -            398   2.8e-09   35.0  22.5   2   5     0.002       1.3    6.5   0.0    18    77   264   323   244   335 0.71 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
