#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0930500.1-p1   -            571 7061at5820           -            416  2.2e-250  829.5  40.1   1   2  1.2e-149  1.5e-146  487.4  12.6     1   239    46   296    46   301 0.96 | transcript=PVP01_0930500.1 | gene=PVP01_0930500 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_09_v2:1325895-1327610(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930500.1-p1   -            571 7061at5820           -            416  2.2e-250  829.5  40.1   2   2  2.2e-107  2.9e-104  348.1  19.5   226   416   364   566   361   566 0.92 | transcript=PVP01_0930500.1 | gene=PVP01_0930500 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_09_v2:1325895-1327610(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210000.1-p1   -            638 7061at5820           -            416   2.9e-30  104.4  35.2   1   2   1.1e-26   1.5e-23   82.3  12.0    34   222    33   236    19   241 0.86 | transcript=PVP01_0210000.1 | gene=PVP01_0210000 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_02_v2:403939-405855(-) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210000.1-p1   -            638 7061at5820           -            416   2.9e-30  104.4  35.2   2   2   3.6e-10   4.7e-07   27.9  15.2   270   388   480   602   451   621 0.83 | transcript=PVP01_0210000.1 | gene=PVP01_0210000 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_02_v2:403939-405855(-) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0209900.1-p1   -            571 7061at5820           -            416   6.3e-30  103.3  30.8   1   2   1.2e-24   1.6e-21   75.6   4.5    23   222    28   226    15   243 0.91 | transcript=PVP01_0209900.1 | gene=PVP01_0209900 | organism=Plasmodium_vivax_P01 | gene_product=novel putative transporter 1, putative | transcript_product=novel putative transporter 1, putative | location=PvP01_02_v2:400759-402474(-) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0209900.1-p1   -            571 7061at5820           -            416   6.3e-30  103.3  30.8   2   2   7.1e-12   9.2e-09   33.5  18.4   234   400   363   538   354   549 0.81 | transcript=PVP01_0209900.1 | gene=PVP01_0209900 | organism=Plasmodium_vivax_P01 | gene_product=novel putative transporter 1, putative | transcript_product=novel putative transporter 1, putative | location=PvP01_02_v2:400759-402474(-) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713100.1-p1   -            484 7061at5820           -            416   3.8e-09   34.8   9.6   1   2   2.9e-12   3.8e-09   34.8   9.6    73   227    78   238     6   245 0.70 | transcript=PVP01_0713100.1 | gene=PVP01_0713100 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_07_v2:615966-617420(+) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713100.1-p1   -            484 7061at5820           -            416   3.8e-09   34.8   9.6   2   2         5   6.5e+03   -6.9  19.7   278   378   337   438   301   451 0.72 | transcript=PVP01_0713100.1 | gene=PVP01_0713100 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_07_v2:615966-617420(+) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827700.1-p1   -            541 7061at5820           -            416    0.0049   14.7  33.2   1   2     0.001       1.3    6.7   0.9    38   134    13   112     6   129 0.70 | transcript=PVP01_0827700.1 | gene=PVP01_0827700 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_08_v2:1201783-1203408(-) | protein_length=541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827700.1-p1   -            541 7061at5820           -            416    0.0049   14.7  33.2   2   2     2e-05     0.026   12.3  25.5   263   395   361   498   336   518 0.79 | transcript=PVP01_0827700.1 | gene=PVP01_0827700 | organism=Plasmodium_vivax_P01 | gene_product=major facilitator superfamily-related transporter, putative | transcript_product=major facilitator superfamily-related transporter, putative | location=PvP01_08_v2:1201783-1203408(-) | protein_length=541 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
