#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1313000.1-p1   -            417 7633at5820           -            353  3.1e-204  676.4  12.3   1   2   1.7e-09   2.8e-06   25.2   0.0     1    26    11    36    11    44 0.93 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 7633at5820           -            353  3.1e-204  676.4  12.3   2   2  1.2e-199    2e-196  650.7  10.9    26   353    72   417    66   417 0.96 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 7633at5820           -            353     1e-10   39.8   7.9   1   2       0.8   1.3e+03   -3.3   0.1   111   145    39    73    29   168 0.60 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 7633at5820           -            353     1e-10   39.8   7.9   2   2   7.3e-14   1.2e-10   39.6   3.3    56   170   218   343   211   425 0.83 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310000.1-p1   -            788 7633at5820           -            353   1.8e-05   22.6  12.2   1   3   1.7e-05     0.027   12.1   0.6    34    95   398   467   372   473 0.71 | transcript=PVP01_0310000.1 | gene=PVP01_0310000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=PvP01_03_v2:452864-455230(-) | protein_length=788 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310000.1-p1   -            788 7633at5820           -            353   1.8e-05   22.6  12.2   2   3   4.8e-06    0.0078   13.9   1.1   135   172   539   576   496   593 0.70 | transcript=PVP01_0310000.1 | gene=PVP01_0310000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=PvP01_03_v2:452864-455230(-) | protein_length=788 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0310000.1-p1   -            788 7633at5820           -            353   1.8e-05   22.6  12.2   3   3     0.011        18    2.8   0.2   212   270   593   654   583   692 0.68 | transcript=PVP01_0310000.1 | gene=PVP01_0310000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=PvP01_03_v2:452864-455230(-) | protein_length=788 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 7633at5820           -            353    0.0023   15.7   7.6   1   4   0.00084       1.4    6.5   0.1   150   171   107   128    98   137 0.83 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 7633at5820           -            353    0.0023   15.7   7.6   2   4      0.14   2.2e+02   -0.7   0.0   201   235   139   172   131   182 0.71 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 7633at5820           -            353    0.0023   15.7   7.6   3   4      0.83   1.4e+03   -3.3   0.2   189   208   291   310   270   314 0.65 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 7633at5820           -            353    0.0023   15.7   7.6   4   4   1.9e-05     0.031   11.9   0.1    89   143   334   390   326   457 0.88 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7633at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7633at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7633at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:23 2026
# [ok]
