#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1424400.1-p1   -            517 7216at5820           -            365    2e-204  677.0  25.3   1   2   4.6e-34   5.5e-32  109.7   4.9     1    88     1   103     1   111 0.86 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 7216at5820           -            365    2e-204  677.0  25.3   2   2    7e-174  8.4e-172  569.7  12.4    87   365   231   517   220   517 0.97 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 7216at5820           -            365   1.2e-36  125.0   2.0   1   2   5.2e-19   6.3e-17   60.1   1.8    95   201   186   290   170   295 0.85 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 7216at5820           -            365   1.2e-36  125.0   2.0   2   2   6.2e-20   7.4e-18   63.2   0.0   242   360   294   417   290   421 0.88 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 7216at5820           -            365   5.9e-33  112.9  14.6   1   3       3.1   3.7e+02   -1.6   0.5   208   246   283   321   276   325 0.83 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 7216at5820           -            365   5.9e-33  112.9  14.6   2   3   1.4e-13   1.7e-11   42.3   4.4    91   200  1547  1656  1521  1663 0.88 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 7216at5820           -            365   5.9e-33  112.9  14.6   3   3   4.4e-24   5.3e-22   76.8   0.0   243   360  1662  1783  1656  1787 0.86 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 7216at5820           -            365   5.7e-31  106.3  12.4   1   2   1.8e-13   2.1e-11   42.0   4.0   112   201   113   203    99   209 0.91 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 7216at5820           -            365   5.7e-31  106.3  12.4   2   2   7.3e-22   8.8e-20   69.5   1.4   245   361   210   330   202   334 0.84 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 7216at5820           -            365   1.2e-30  105.3  13.7   1   2   9.6e-17   1.2e-14   52.7   5.7    97   203   149   253   127   259 0.88 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 7216at5820           -            365   1.2e-30  105.3  13.7   2   2   2.3e-18   2.8e-16   58.0   1.1   243   361   256   378   250   382 0.86 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416000.1-p1   -            368 7216at5820           -            365     2e-28   98.0  17.1   1   2   4.2e-15   5.1e-13   47.3   9.6    93   199   132   240   100   245 0.90 | transcript=PVP01_1416000.1 | gene=PVP01_1416000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=PvP01_14_v2:704450-705556(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416000.1-p1   -            368 7216at5820           -            365     2e-28   98.0  17.1   2   2   1.1e-17   1.3e-15   55.8   0.7   244   361   245   364   241   367 0.82 | transcript=PVP01_1416000.1 | gene=PVP01_1416000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=PvP01_14_v2:704450-705556(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252700.1-p1   -            861 7216at5820           -            365   3.2e-28   97.3  15.3   1   2   2.9e-17   3.5e-15   54.4  10.0    95   199   507   613   494   618 0.91 | transcript=PVP01_1252700.1 | gene=PVP01_1252700 | organism=Plasmodium_vivax_P01 | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=PvP01_12_v2:2152503-2155088(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252700.1-p1   -            861 7216at5820           -            365   3.2e-28   97.3  15.3   2   2   1.1e-14   1.3e-12   46.0   0.2   244   364   618   740   614   741 0.87 | transcript=PVP01_1252700.1 | gene=PVP01_1252700 | organism=Plasmodium_vivax_P01 | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=PvP01_12_v2:2152503-2155088(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 7216at5820           -            365   6.6e-28   96.3  18.8   1   3       1.5   1.8e+02   -0.6   0.0   222   256     5    39     3    44 0.88 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 7216at5820           -            365   6.6e-28   96.3  18.8   2   3   4.1e-14   4.9e-12   44.0  12.0    86   201    40   157    34   163 0.88 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 7216at5820           -            365   6.6e-28   96.3  18.8   3   3   6.4e-18   7.7e-16   56.6   0.3   243   360   161   281   156   283 0.80 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 7216at5820           -            365   2.8e-27   94.2   9.3   1   2   3.4e-13   4.1e-11   41.0   5.5    94   200    96   203    69   210 0.89 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 7216at5820           -            365   2.8e-27   94.2   9.3   2   2   1.6e-17   1.9e-15   55.3   0.1   241   359   208   330   203   334 0.85 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 7216at5820           -            365   5.3e-27   93.3   9.0   1   2   5.3e-16   6.4e-14   50.2   5.6    89   204  1354  1471  1337  1479 0.89 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 7216at5820           -            365   5.3e-27   93.3   9.0   2   2   1.6e-14     2e-12   45.3   0.1   235   361  1472  1601  1468  1602 0.81 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457000.1-p1   -            508 7216at5820           -            365   6.1e-27   93.1  17.5   1   4       2.3   2.7e+02   -1.2   0.0   146   173    88   115    67   131 0.76 | transcript=PVP01_1457000.1 | gene=PVP01_1457000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=PvP01_14_v2:2470814-2472340(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
